"di_id","year","value"
"AE",2015,1.18
"BG",2015,0.09
"CY",2015,0.09
"EE",2015,0.15
"HR",2015,0.09
"HU",2015,0.13
"IL",2015,0.07
"KZ",2015,0.03
"LT",2015,0.14
"LV",2015,0.09
"MT",2015,0.17
"RO",2015,0.09
"RU",2015,0.09
"TH",2015,0.02
"TR",2015,0.5
"TW",2015,0.05
"AE",2014,1.26
"BG",2014,0.09
"CY",2014,0.09
"EE",2014,0.14
"HR",2014,0.13
"HU",2014,0.11
"IL",2014,0.07
"KZ",2014,0.02
"LI",2014,0.5
"LT",2014,0.1
"LV",2014,0.08
"MT",2014,0.2
"RO",2014,0.11
"RU",2014,0.05
"TH",2014,0.02
"TR",2014,0.45
"TW",2014,0.05
"AE",2013,1.34
"BG",2013,0.1
"BR",2013,
"CN",2013,0.081611315
"CY",2013,0.1
"EE",2013,0.13
"HR",2013,0.08
"HU",2013,0.1
"IL",2013,0.07
"IN",2013,0.064116771
"KZ",2013,0
"LI",2013,0.64
"LT",2013,0.11
"LV",2013,0.08
"MT",2013,0.2
"MX",2013,
"RO",2013,0.07
"RU",2013,0.03
"TH",2013,0.01
"TR",2013,0.4
"TW",2013,0.05
"ZA",2013,0.0520883376
"AE",2012,0.2
"BG",2012,0.08
"BR",2012,
"CN",2012,0.075652369
"CY",2012,0.11
"EE",2012,0.11
"HR",2012,0.04
"HU",2012,0.1
"IL",2012,0.07
"IN",2012,0.055832166
"LI",2012,0.75
"LT",2012,0.13
"LV",2012,0.08
"MT",2012,0.23
"MX",2012,0.023662193
"RO",2012,0.09
"RU",2012,0.02
"TH",2012,0
"TR",2012,0.32
"TW",2012,0.06
"ZA",2012,0.0540147394
"AE",2011,0.21
"BG",2011,0.09
"BR",2011,
"CN",2011,0.069949687
"CY",2011,0.16
"EE",2011,0.12
"HU",2011,0.11
"IL",2011,0.09
"IN",2011,0.048467455
"LI",2011,0.69
"LT",2011,0.13
"LV",2011,0.07
"MT",2011,0.25
"MX",2011,0.025101776
"RO",2011,0.09
"RU",2011,0.03
"TH",2011,0.01
"TR",2011,0.17
"TW",2011,0.09
"ZA",2011,0.05792696
"AE",2010,0.14
"BG",2010,0.09
"BR",2010,0.048255661
"CN",2010,0.065588828
"CY",2010,0.23
"EE",2010,0.1
"HU",2010,0.09
"IL",2010,0.07
"IN",2010,0.049786431
"LI",2010,0.62
"LT",2010,0.11
"LV",2010,0.06
"MT",2010,0.18
"MX",2010,
"RO",2010,0.07
"RU",2010,0.03
"TH",2010,0
"TR",2010,0.13
"TW",2010,0.1
"ZA",2010,0.0650615327
"AE",2009,0.37
"BR",2009,0.027080418
"CN",2009,0.066368968
"CY",2009,0.2
"EE",2009,0.1
"HU",2009,0.1
"IL",2009,0.07
"IN",2009,0.050924275
"LI",2009,0.68
"LT",2009,0.11
"LV",2009,0.07
"MT",2009,0.18
"MX",2009,
"RO",2009,0.08
"TH",2009,0.02
"TR",2009,0.12
"TW",2009,0.13
"ZA",2009,0.0748927276
"BR",2008,0.028447566
"CN",2008,0.06136627
"CY",2008,0.17
"EE",2008,0.1
"HU",2008,0.08
"IL",2008,0.07
"IN",2008,0.064289413
"LI",2008,0.53
"LT",2008,0.11
"LV",2008,0.07
"MX",2008,
"RO",2008,0.09
"TH",2008,0.09
"TR",2008,0.11
"TW",2008,0.11
"ZA",2008,0.0507709082
"BR",2007,0.031213899
"CN",2007,0.069144646
"CY",2007,0.17
"EE",2007,0.08
"HU",2007,0.08
"IL",2007,0.07
"IN",2007,
"LI",2007,0.44
"LT",2007,0.11
"LV",2007,0.06
"MX",2007,
"TH",2007,0.04
"TR",2007,0.09
"TW",2007,0.13
"ZA",2007,0.0398851891
"BR",2006,0.035053729
"CN",2006,0.055136554
"CY",2006,0.14
"EE",2006,0.09
"HU",2006,0.13
"IL",2006,0.06
"IN",2006,
"LT",2006,0.08
"LV",2006,0.06
"MX",2006,
"TH",2006,0.04
"TR",2006,0.18
"TW",2006,0.14
"ZA",2006,0.0376402187
"BR",2005,0.029699847
"CN",2005,0.052420212
"CY",2005,0.09
"EE",2005,0.08
"HU",2005,0.11
"IL",2005,0.08
"IN",2005,
"LT",2005,0.06
"LV",2005,0.07
"MX",2005,
"TR",2005,0.17
"TW",2005,0.14
"ZA",2005,0.0331706921
"BR",2004,
"CN",2004,0.049921275
"EE",2004,0.05
"HU",2004,0.07
"IL",2004,0.07
"IN",2004,
"LT",2004,0.04
"LV",2004,0.06
"MX",2004,
"SA",2004,
"TR",2004,0.11
"ZA",2004,0.0414807152
"BR",2003,
"CN",2003,0.051239015
"HU",2003,0.03
"IL",2003,0.1
"IN",2003,
"KW",2003,
"LT",2003,0.01
"LV",2003,0.01
"MX",2003,
"TR",2003,0.04
"ZA",2003,0.0565109286
"BR",2002,
"CN",2002,0.05648851
"IL",2002,0.12
"IN",2002,
"MX",2002,
"TR",2002,0.04
"ZA",2002,0.0504027739
"BR",2001,
"CN",2001,0.058029769
"IL",2001,0.08
"IN",2001,
"MX",2001,
"TR",2001,0.04
"ZA",2001,0.0315459487
"BR",2000,
"CN",2000,
"IN",2000,
"MX",2000,
"TR",2000,0.04
"ZA",2000,0.0203656488
"TR",1999,0.07
"TR",1998,0.03
"TR",1997,0.04
"TR",1996,0.05
"TR",1995,0.06
"TR",1994,0.04
"TR",1993,0.04
"TR",1992,0.05
"TR",1991,0.08
