"di_id","year","value"
"CW",2005,
"KY",2005,
"CU",2011,
"AW",2000,0
"AD",2000,
"AF",2000,
"AO",2000,9.62
"AL",2000,3.97
"AE",2000,0
"AR",2000,3.67
"AM",2000,5.45
"AS",2000,
"AG",2000,8.49
"AU",2000,3.42
"AT",2000,4.33
"AZ",2000,2.46
"BI",2000,1.34
"BE",2000,37.3
"BJ",2000,2.33
"BF",2000,0.88
"BD",2000,1.08
"BG",2000,7.73
"BH",2000,4.01
"BS",2000,9.63
"BA",2000,2.65
"BY",2000,0.93
"BZ",2000,2.81
"BM",2000,1.92
"BO",2000,8.77
"BR",2000,5
"BB",2000,2.36
"BN",2000,9.16
"BT",2000,
"BW",2000,1.06
"CF",2000,0.1
"CA",2000,9
"CH",2000,7.09
"CL",2000,6.13
"CN",2000,3.36
"CI",2000,2.19
"CM",2000,1.71
"CG",2000,5.15
"CO",2000,2.44
"KM",2000,0.05
"CV",2000,8.06
"CR",2000,2.73
"CU",2000,
"CW",2000,
"KY",2000,
"CY",2000,8.23
"CZ",2000,8.11
"DE",2000,10.17
"DJ",2000,0.6
"DM",2000,6.06
"DK",2000,20.6
"DO",2000,3.97
"DZ",2000,0.51
"EC",2000,0
"EG",2000,1.24
"ER",2000,3.95
"ES",2000,6.65
"EE",2000,6.88
"ET",2000,1.63
"FI",2000,7.04
"FJ",2000,0.18
"FR",2000,2.01
"FO",2000,
"FM",2000,
"GA",2000,0
"GB",2000,7.05
"GE",2000,4.29
"GH",2000,2.31
"GN",2000,0.33
"GM",2000,5.56
"GW",2000,0.19
"GQ",2000,14.77
"GR",2000,0.85
"GD",2000,7.58
"GL",2000,
"GT",2000,1.19
"GU",2000,
"GY",2000,9.42
"HK",2000,31.8
"HN",2000,5.37
"HR",2000,4.56
"HT",2000,0.34
"HU",2000,5.85
"ID",2000,0
"IN",2000,0.75
"IE",2000,25.82
"IR",2000,0.18
"IQ",2000,
"IS",2000,1.92
"IL",2000,5.25
"IT",2000,1.17
"JM",2000,5.25
"JO",2000,10.8
"JP",2000,0.18
"KZ",2000,7.01
"KE",2000,0.87
"KG",2000,0
"KH",2000,4.06
"KI",2000,1.07
"KN",2000,23.57
"KR",2000,2.05
"XK",2000,
"KW",2000,0.04
"LA",2000,1.96
"LB",2000,5.76
"LR",2000,3.93
"LY",2000,0.37
"LC",2000,7.46
"LI",2000,
"LK",2000,1.07
"LS",2000,3.65
"LT",2000,3.28
"LU",2000,
"LV",2000,4.14
"MO",2000,0
"MF",2000,
"MA",2000,1.09
"MC",2000,
"MD",2000,9.9
"MG",2000,2.14
"MV",2000,3.57
"MX",2000,2.68
"MH",2000,113.38
"MK",2000,5.7
"ML",2000,2.79
"MT",2000,13.51
"MM",2000,1.02
"ME",2000,
"MN",2000,4.72
"MP",2000,
"MZ",2000,2.78
"MR",2000,3.1
"MU",2000,6.04
"MW",2000,2.27
"MY",2000,4.04
"NA",2000,4.77
"NC",2000,0
"NE",2000,0.47
"NG",2000,2.82
"NI",2000,5.22
"NL",2000,15.47
"NO",2000,4.14
"NP",2000,0
"NZ",2000,2.56
"OM",2000,0.43
"PK",2000,0.42
"PA",2000,5.07
"PE",2000,1.56
"PH",2000,2.76
"PW",2000,2.13
"PG",2000,2.79
"PL",2000,5.5
"PR",2000,
"KP",2000,
"PT",2000,5.54
"PY",2000,1.19
"PF",2000,0.06
"QA",2000,1.42
"RO",2000,2.82
"RU",2000,1.02
"RW",2000,0.47
"SA",2000,0.1
"SD",2000,3.2
"SN",2000,1.34
"SG",2000,16.19
"SB",2000,2.99
"SL",2000,6.11
"SV",2000,1.32
"SM",2000,
"SO",2000,
"RS",2000,
"SS",2000,
"ST",2000,
"SR",2000,0
"SK",2000,9.34
"SI",2000,0.68
"SE",2000,9.02
"SZ",2000,6.2
"SX",2000,
"SC",2000,3.96
"SY",2000,1.4
"TC",2000,
"TD",2000,8.32
"TG",2000,3.2
"TH",2000,2.7
"TJ",2000,2.74
"TM",2000,4.51
"TL",2000,
"TO",2000,4.55
"TT",2000,8.33
"TN",2000,3.63
"TR",2000,0.37
"TV",2000,
"TZ",2000,2.77
"UG",2000,2.92
"UA",2000,1.9
"UY",2000,1.2
"US",2000,3.05
"UZ",2000,0.54
"VC",2000,9.53
"VE",2000,4.01
"VI",2000,
"VN",2000,3.83
"VU",2000,7.45
"PS",2000,1.44
"WS",2000,0
"YE",2000,0.07
"ZA",2000,0.65
"CD",2000,0.49
"ZM",2000,3.38
"ZW",2000,0.35
"AW",2001,0
"AD",2001,
"AF",2001,0.03
"AO",2001,24.01
"AL",2001,5.08
"AE",2001,1.15
"AR",2001,0.81
"AM",2001,3.3
"AS",2001,
"AG",2001,14.46
"AU",2001,2.07
"AT",2001,2.89
"AZ",2001,3.97
"BI",2001,0
"BE",2001,
"BJ",2001,1.64
"BF",2001,0.22
"BD",2001,0.66
"BG",2001,5.72
"BH",2001,0.89
"BS",2001,9.01
