"di_id","year","value"
"AD",2015,0
"AE",2015,43090
"AF",2015,610
"AG",2015,13270
"AL",2015,4280
"AM",2015,3880
"AO",2015,4180
"AR",2015,12460
"AS",2015,0
"AT",2015,47410
"AU",2015,60070
"AW",2015,0
"AZ",2015,6560
"BA",2015,4670
"BB",2015,14510
"BD",2015,1190
"BE",2015,44250
"BF",2015,640
"BG",2015,7480
"BH",2015,19840
"BI",2015,260
"BJ",2015,840
"BM",2015,0
"BN",2015,38010
"BO",2015,3000
"BR",2015,9850
"BS",2015,20740
"BT",2015,2380
"BW",2015,6460
"BY",2015,6460
"BZ",2015,4490
"CA",2015,47540
"CD",2015,410
"CF",2015,330
"CG",2015,2540
"CH",2015,84630
"CI",2015,1420
"CL",2015,14100
"CM",2015,1320
"CN",2015,7930
"CO",2015,7140
"CR",2015,10400
"CU",2015,0
"CV",2015,3280
"CW",2015,0
"CY",2015,25990
"CZ",2015,18140
"DE",2015,45940
"DJ",2015,0
"DK",2015,58550
"DM",2015,6800
"DO",2015,6240
"DZ",2015,4870
"EC",2015,6030
"EE",2015,18360
"EG",2015,3340
"ER",2015,0
"ES",2015,28530
"ET",2015,590
"EU",2015,
"FI",2015,46550
"FJ",2015,4830
"FM",2015,3560
"FO",2015,0
"FR",2015,40540
"GA",2015,9200
"GB",2015,43390
"GD",2015,8650
"GE",2015,4160
"GH",2015,1480
"GI",2015,0
"GL",2015,0
"GM",2015,0
"GN",2015,470
"GQ",2015,12820
"GR",2015,20320
"GT",2015,3590
"GU",2015,0
"GW",2015,590
"GY",2015,4090
"HK",2015,41000
"HN",2015,2280
"HR",2015,12700
"HT",2015,810
"HU",2015,12980
"ID",2015,3440
"IE",2015,52580
"IL",2015,35770
"IM",2015,0
"IN",2015,1600
"IQ",2015,5820
"IR",2015,0
"IS",2015,50140
"IT",2015,32810
"JM",2015,5050
"JO",2015,4680
"JP",2015,36680
"KE",2015,1340
"KG",2015,1170
"KH",2015,1070
"KI",2015,3390
"KM",2015,780
"KN",2015,15060
"KP",2015,0
"KR",2015,27450
"KW",2015,42150
"KY",2015,0
"KZ",2015,11390
"LA",2015,1740
"LB",2015,7710
"LC",2015,7350
"LI",2015,0
"LK",2015,3800
"LR",2015,380
"LS",2015,1280
"LT",2015,14940
"LU",2015,77000
"LV",2015,14980
"LY",2015,0
"MA",2015,3030
"MC",2015,0
"MD",2015,2240
"ME",2015,7220
"MF",2015,0
"MG",2015,420
"MH",2015,4770
"MK",2015,5140
"ML",2015,760
"MM",2015,1160
"MN",2015,3870
"MO",2015,67180
"MP",2015,0
"MR",2015,0
"MT",2015,23930
"MU",2015,9780
"MV",2015,6950
"MW",2015,340
"MX",2015,9710
"MY",2015,10570
"MZ",2015,590
"NA",2015,5190
"NC",2015,0
"NE",2015,390
"NG",2015,2820
"NI",2015,1940
"NL",2015,48860
"NO",2015,93740
"NP",2015,730
"NR",2015,
"NZ",2015,40020
"OM",2015,16910
"PA",2015,11880
"PE",2015,6130
"PF",2015,0
"PG",2015,0
"PH",2015,3550
"PK",2015,1440
"PL",2015,13340
"PR",2015,0
"PS",2015,0
"PT",2015,20530
"PW",2015,12180
"PY",2015,4190
"QA",2015,83990
"RO",2015,9500
"RS",2015,5540
"RU",2015,11450
"RW",2015,700
"SA",2015,23550
"SB",2015,1920
"SC",2015,14760
"SD",2015,1920
"SE",2015,57920
"SG",2015,52090
"SI",2015,22190
"SK",2015,17570
"SL",2015,620
"SM",2015,0
"SN",2015,980
"SO",2015,0
"SR",2015,9360
"SS",2015,790
"ST",2015,1760
"SV",2015,3940
"SX",2015,0
"SY",2015,0
"SZ",2015,3280
"TC",2015,0
"TD",2015,880
"TG",2015,540
"TH",2015,5720
"TJ",2015,1280
"TL",2015,2180
"TM",2015,7380
"TN",2015,3980
"TO",2015,4280
"TR",2015,9950
"TT",2015,17640
"TV",2015,6230
"TZ",2015,920
"UA",2015,2640
"UG",2015,700
"US",2015,55980
"UY",2015,15720
"UZ",2015,2160
"VC",2015,6630
"VE",2015,0
"VG",2015,0
"VI",2015,0
"VN",2015,1990
"VU",2015,0
"WS",2015,3930
"XK",2015,3970
"YE",2015,1140
"ZA",2015,6080
"ZM",2015,1490
"ZW",2015,860
"AD",2014,0
"AE",2014,39350.8
"AF",2014,633.63
"AG",2014,13435.37
"AL",2014,3720.81
"AM",2014,3530.16
"AO",2014,3784.52
"AR",2014,13461.1
"AS",2014,0
"AT",2014,42526.39
"AU",2014,53510.26
"AW",2014,0
"AZ",2014,5398.99
"BA",2014,4034.97
"BB",2014,14698.57
"BD",2014,1135.15
"BE",2014,39812.02
"BF",2014,576.64
"BG",2014,6471.14
"BH",2014,18678.63
"BI",2014,274.7
"BJ",2014,757.75
"BM",2014,0
"BN",2014,32128.22
"BO",2014,2737.38
"BR",2014,8992.05
"BS",2014,22023.74
"BT",2014,2482.73
"BW",2014,6397.32
"BY",2014,5479.93
"BZ",2014,4473.55
"CA",2014,44391.84
"CD",2014,399.83
"CF",2014,285.12
"CG",2014,1734.67
"CH",2014,80964.19
"CI",2014,1232.86
"CL",2014,13596.76
"CM",2014,1134.41
"CN",2014,7450.33
"CO",2014,5965.86
"CR",2014,10399.19
"CU",2014,0
"CV",2014,2885.24
"CW",2014,0
"CY",2014,21829.52
"CZ",2014,16014.58
"DE",2014,40693.55
"DJ",2014,0
"DK",2014,52638.78
"DM",2014,6987.07
"DO",2014,5992.73
"DZ",2014,4128.74
"EC",2014,6129.48
"EE",2014,16106.87
"EG",2014,3372.91
"ER",2014,0
"ES",2014,24691.79
"ET",2014,554.1
"EU",2014,
"FI",2014,41549.45
"FJ",2014,4503.32
"FM",2014,3205.29
"FO",2014,0
"FR",2014,35849.89
"GA",2014,7842.79
"GB",2014,40747.69
"GD",2014,8287.56
"GE",2014,3695
"GH",2014,1493.78
"GI",2014,0
"GL",2014,0
"GM",2014,477.62
"GN",2014,473.15
"GQ",2014,12052.29
"GR",2014,18162.71
"GT",2014,3588.25
"GU",2014,0
"GW",2014,535.12
"GY",2014,4013.95
"HK",2014,41659.74
"HN",2014,2292.67
"HR",2014,11062.64
"HT",2014,803.41
"HU",2014,11291.65
"ID",2014,3340.86
"IE",2014,41100.72
"IL",2014,33743.11
"IM",2014,
"IN",2014,1471.93
"IQ",2014,4985.61
"IR",2014,6134.28
"IS",2014,45501.72
"IT",2014,29050.92
"JM",2014,5283.76
"JO",2014,4694.59
"JP",2014,37419.07
"KE",2014,1270.65
"KG",2014,1084.81
"KH",2014,1010.37
"KI",2014,2701.24
"KM",2014,698.88
"KN",2014,14914.82
"KP",2014,0
"KR",2014,25660.33
"KW",2014,34602.96
"KY",2014,0
"KZ",2014,9688.19
"LA",2014,1616.09
"LB",2014,8012.11
"LC",2014,7241.49
"LI",2014,0
"LK",2014,3777.25
"LR",2014,373.97
"LS",2014,1315.63
"LT",2014,13356.94
"LU",2014,64473.43
"LV",2014,12842.18
"LY",2014,0
"MA",2014,2689.27
"MC",2014,0
"MD",2014,2086.59
"ME",2014,6159.01
"MF",2014,0
"MG",2014,389.52
"MH",2014,4283.97
"MK",2014,4456.56
"ML",2014,678.08
"MM",2014,1072.16
"MN",2014,3998.79
"MO",2014,79670.13
"MP",2014,0
"MR",2014,1190.41
"MT",2014,20185.84
"MU",2014,8632.51
"MV",2014,6508.46
"MW",2014,370.07
"MX",2014,8676.19
"MY",2014,9284.22
"MZ",2014,510.38
"NA",2014,4821.13
"NC",2014,0
"NE",2014,352.42
"NG",2014,2513.25
"NI",2014,1918.65
"NL",2014,42899.45
"NO",2014,80905.75
"NP",2014,767.89
"NR",2014,
"NZ",2014,35198.85
"OM",2014,13823.38
"PA",2014,11517.77
"PE",2014,5832.33
"PF",2014,0
"PG",2014,2039.5
"PH",2014,3393.22
"PK",2014,1492.63
"PL",2014,11483.41
"PR",2014,0
"PS",2014,
"PT",2014,18122.06
"PW",2014,11132.79
"PY",2014,3822.06
"QA",2014,69321.08
"RO",2014,8258.92
"RS",2014,4787.67
"RU",2014,9731.77
"RW",2014,662.28
"SA",2014,21116.3
"SB",2014,1760.11
"SC",2014,13423.53
"SD",2014,1911.86
"SE",2014,50338.42
"SG",2014,50545.57
"SI",2014,19881.95
"SK",2014,15082.85
"SL",2014,857.23
"SM",2014,0
"SN",2014,868.77
"SO",2014,0
"SR",2014,9508.08
"SS",2014,646.73
"ST",2014,1569.68
"SV",2014,3917.42
"SX",2014,0
"SY",2014,0
"SZ",2014,3236.6
"TC",2014,0
"TD",2014,752.59
"TG",2014,471.7
"TH",2014,5524.55
"TJ",2014,1093.03
"TL",2014,1928.11
"TM",2014,5484.62
"TN",2014,3796.3
"TO",2014,4139
"TR",2014,9188.87
"TT",2014,16255.68
"TV",2014,4605.35
"TZ",2014,813.41
