"di_id","year","value"
"AD",2015,70473
"AE",2015,9156963
"AF",2015,32526562
"AG",2015,91818
"AL",2015,2889167
"AM",2015,3017712
"AO",2015,25021974
"AR",2015,43416755
"AS",2015,55538
"AT",2015,8611088
"AU",2015,23781169
"AW",2015,103889
"AZ",2015,9651349
"BA",2015,3810416
"BB",2015,284215
"BD",2015,160995642
"BE",2015,11285721
"BF",2015,18105570
"BG",2015,7177991
"BH",2015,1377237
"BI",2015,11178921
"BJ",2015,10879829
"BM",2015,65235
"BN",2015,423188
"BO",2015,10724705
"BR",2015,207847528
"BS",2015,388019
"BT",2015,774830
"BW",2015,2262485
"BY",2015,9513000
"BZ",2015,359287
"CA",2015,35851774
"CD",2015,77266814
"CF",2015,4900274
"CG",2015,4620330
"CH",2015,8286976
"CI",2015,22701556
"CL",2015,17948141
"CM",2015,23344179
"CN",2015,1371220000
"CO",2015,48228704
"CR",2015,4807850
"CU",2015,11389562
"CV",2015,520502
"CW",2015,158040
"CY",2015,1165300
"CZ",2015,10551219
"DE",2015,81413145
"DJ",2015,887861
"DK",2015,5676002
"DM",2015,72680
"DO",2015,10528391
"DZ",2015,39666519
"EC",2015,16144363
"EE",2015,1311998
"EG",2015,91508084
"ER",2015,
"ES",2015,46418269
"ET",2015,99390750
"EU",2015,509668361
"FI",2015,5482013
"FJ",2015,892145
"FM",2015,104460
"FO",2015,48199
"FR",2015,66808385
"GA",2015,1725292
"GB",2015,65138232
"GD",2015,106825
"GE",2015,3679000
"GH",2015,27409893
"GI",2015,32217
"GL",2015,56114
"GM",2015,1990924
"GN",2015,12608590
"GQ",2015,845060
"GR",2015,10823732
"GT",2015,16342897
"GU",2015,169885
"GW",2015,1844325
"GY",2015,767085
"HK",2015,7305700
"HN",2015,8075060
"HR",2015,4224404
"HT",2015,10711067
"HU",2015,9844686
"ID",2015,257563815
"IE",2015,4640703
"IL",2015,8380400
"IM",2015,87780
"IN",2015,1311050527
"IQ",2015,36423395
"IR",2015,79109272
"IS",2015,330823
"IT",2015,60802085
"JM",2015,2725941
"JO",2015,7594547
"JP",2015,126958472
"KE",2015,46050302
"KG",2015,5957000
"KH",2015,15577899
"KI",2015,112423
"KM",2015,788474
"KN",2015,55572
"KP",2015,25155317
"KR",2015,50617045
"KW",2015,3892115
"KY",2015,59967
"KZ",2015,17544126
"LA",2015,6802023
"LB",2015,5850743
"LC",2015,184999
"LI",2015,37531
"LK",2015,20966000
"LR",2015,4503438
"LS",2015,2135022
"LT",2015,2910199
"LU",2015,569676
"LV",2015,1978440
"LY",2015,6278438
"MA",2015,34377511
"MC",2015,37731
"MD",2015,3554150
"ME",2015,622388
"MF",2015,31754
"MG",2015,24235390
"MH",2015,52993
"MK",2015,2078453
"ML",2015,17599694
"MM",2015,53897154
"MN",2015,2959134
"MO",2015,587606
"MP",2015,55070
"MR",2015,4067564
"MT",2015,431333
"MU",2015,1262605
"MV",2015,409163
"MW",2015,17215232
"MX",2015,127017224
"MY",2015,30331007
"MZ",2015,27977863
"NA",2015,2458830
"NC",2015,273000
"NE",2015,19899120
"NG",2015,182201962
"NI",2015,6082032
"NL",2015,16936520
"NO",2015,5195921
"NP",2015,28513700
"NR",2015,10222
"NZ",2015,4595700
"OM",2015,4490541
"PA",2015,3929141
"PE",2015,31376670
"PF",2015,282764
"PG",2015,7619321
"PH",2015,100699395
"PK",2015,188924874
"PL",2015,37999494
"PR",2015,3474182
"PS",2015,4422143
"PT",2015,10348648
"PW",2015,21291
"PY",2015,6639123
"QA",2015,2235355
"RO",2015,19832389
"RS",2015,7098247
"RU",2015,144096812
"RW",2015,11609666
"SA",2015,31540372
"SB",2015,583591
"SC",2015,92900
"SD",2015,40234882
"SE",2015,9798871
"SG",2015,5535002
"SI",2015,2063768
"SK",2015,5424050
"SL",2015,6453184
"SM",2015,31781
"SN",2015,15129273
"SO",2015,10787104
"SR",2015,542975
"SS",2015,12339812
"ST",2015,190344
"SV",2015,6126583
"SX",2015,38817
"SY",2015,18502413
"SZ",2015,1286970
"TC",2015,34339
"TD",2015,14037472
"TG",2015,7304578
"TH",2015,67959359
"TJ",2015,8481855
"TL",2015,1245015
"TM",2015,5373502
"TN",2015,11107800
"TO",2015,106170
"TR",2015,78665830
"TT",2015,1360088
"TV",2015,9916
"TZ",2015,53470420
"UA",2015,45198200
"UG",2015,39032383
"US",2015,321418820
"UY",2015,3431555
"UZ",2015,31299500
"VC",2015,109462
"VE",2015,31108083
"VG",2015,30117
"VI",2015,103574
"VN",2015,91703800
"VU",2015,264652
"WS",2015,193228
"XK",2015,1797151
"YE",2015,26832215
"ZA",2015,54956920
"ZM",2015,16211767
"ZW",2015,15602751
"AD",2014,72786
"AE",2014,9086139
"AF",2014,31627506
"AG",2014,90900
"AL",2014,2893654
"AM",2014,3006154
"AO",2014,24227524
"AR",2014,42980026
"AS",2014,55434
"AT",2014,8541575
"AU",2014,23464086
"AW",2014,103441
"AZ",2014,9535079
"BA",2014,3817554
"BB",2014,283380
"BD",2014,159077513
"BE",2014,11231213
"BF",2014,17589198
"BG",2014,7223938
"BH",2014,1361930
"BI",2014,10816860
"BJ",2014,10598482
"BM",2014,65139
"BN",2014,417394
"BO",2014,10561887
"BR",2014,206077898
"BS",2014,383054
