"di_id","year","value"
"AD",2015,
"AE",2015,43090
"AF",2015,610
"AG",2015,13270
"AL",2015,4280
"AM",2015,3880
"AO",2015,4180
"AR",2015,12460
"AS",2015,
"AT",2015,47410
"AU",2015,60070
"AW",2015,
"AZ",2015,6560
"BA",2015,4670
"BB",2015,14510
"BD",2015,1190
"BE",2015,44250
"BF",2015,640
"BG",2015,7480
"BH",2015,19840
"BI",2015,260
"BJ",2015,840
"BM",2015,
"BN",2015,38010
"BO",2015,3000
"BR",2015,9850
"BS",2015,20740
"BT",2015,2380
"BW",2015,6460
"BY",2015,6460
"BZ",2015,4490
"CA",2015,47540
"CD",2015,410
"CF",2015,330
"CG",2015,2540
"CH",2015,84630
"CI",2015,1420
"CL",2015,14100
"CM",2015,1320
"CN",2015,7930
"CO",2015,7140
"CR",2015,10400
"CU",2015,
"CV",2015,3280
"CW",2015,
"CY",2015,25990
"CZ",2015,18140
"DE",2015,45940
"DJ",2015,
"DK",2015,58550
"DM",2015,6800
"DO",2015,6240
"DZ",2015,4870
"EC",2015,6030
"EE",2015,18360
"EG",2015,3340
"ER",2015,
"ES",2015,28530
"ET",2015,590
"EU",2015,34526.62
"FI",2015,46550
"FJ",2015,4830
"FM",2015,3560
"FO",2015,
"FR",2015,40540
"GA",2015,9200
"GB",2015,43390
"GD",2015,8650
"GE",2015,4160
"GH",2015,1480
"GI",2015,
"GL",2015,
"GM",2015,
"GN",2015,470
"GQ",2015,12820
"GR",2015,20320
"GT",2015,3590
"GU",2015,
"GW",2015,590
"GY",2015,4090
"HK",2015,41000
"HN",2015,2280
"HR",2015,12700
"HT",2015,810
"HU",2015,12980
"ID",2015,3440
"IE",2015,52580
"IL",2015,35770
"IM",2015,
"IN",2015,1600
"IQ",2015,5820
"IR",2015,
"IS",2015,50140
"IT",2015,32810
"JM",2015,5050
"JO",2015,4680
"JP",2015,36680
"KE",2015,1340
"KG",2015,1170
"KH",2015,1070
"KI",2015,3390
"KM",2015,780
"KN",2015,15060
"KP",2015,
"KR",2015,27450
"KW",2015,42150
"KY",2015,
"KZ",2015,11390
"LA",2015,1740
"LB",2015,7710
"LC",2015,7350
"LI",2015,
"LK",2015,3800
"LR",2015,380
"LS",2015,1280
"LT",2015,14940
"LU",2015,77000
"LV",2015,14980
"LY",2015,
"MA",2015,3030
"MC",2015,
"MD",2015,2240
"ME",2015,7220
"MF",2015,
"MG",2015,420
"MH",2015,4770
"MK",2015,5140
"ML",2015,760
"MM",2015,1160
"MN",2015,3870
"MO",2015,67180
"MP",2015,
"MR",2015,
"MT",2015,23930
"MU",2015,9780
"MV",2015,6950
"MW",2015,340
"MX",2015,9710
"MY",2015,10570
"MZ",2015,590
"NA",2015,5190
"NC",2015,
"NE",2015,390
"NG",2015,2820
"NI",2015,1940
"NL",2015,48860
"NO",2015,93740
"NP",2015,730
"NR",2015,15420
"NZ",2015,40020
"OM",2015,16910
"PA",2015,11880
"PE",2015,6130
"PF",2015,
"PG",2015,
"PH",2015,3550
"PK",2015,1440
"PL",2015,13340
"PR",2015,
"PS",2015,
"PT",2015,20530
"PW",2015,12180
"PY",2015,4190
"QA",2015,83990
"RO",2015,9500
"RS",2015,5540
"RU",2015,11450
"RW",2015,700
"SA",2015,23550
"SB",2015,1920
"SC",2015,14760
"SD",2015,1920
"SE",2015,57920
"SG",2015,52090
"SI",2015,22190
"SK",2015,17570
"SL",2015,620
"SM",2015,
"SN",2015,980
"SO",2015,
"SR",2015,9360
"SS",2015,790
"ST",2015,1760
"SV",2015,3940
"SX",2015,
"SY",2015,
"SZ",2015,3280
"TC",2015,
"TD",2015,880
"TG",2015,540
"TH",2015,5720
"TJ",2015,1280
"TL",2015,2180
"TM",2015,7380
"TN",2015,3980
"TO",2015,4280
"TR",2015,9950
"TT",2015,17640
"TV",2015,6230
"TZ",2015,920
"UA",2015,2640
"UG",2015,700
"US",2015,55980
"UY",2015,15720
"UZ",2015,2160
"VC",2015,6630
"VE",2015,
"VG",2015,
"VI",2015,
"VN",2015,1990
"VU",2015,
"WS",2015,3930
"XK",2015,3970
"YE",2015,1140
"ZA",2015,6080
