"di_id","year","value"
"AD",2015,
"AE",2015,13.94
"AF",2015,44.04
"AG",2015,24.18
"AL",2015,18.55
"AM",2015,18.38
"AO",2015,47.65
"AR",2015,25.19
"AS",2015,
"AT",2015,14.21
"AU",2015,18.7
"AW",2015,18.34
"AZ",2015,21.92
"BA",2015,13.5
"BB",2015,19.37
"BD",2015,29.45
"BE",2015,16.94
"BF",2015,45.57
"BG",2015,14.14
"BH",2015,21.47
"BI",2015,44.8
"BJ",2015,42.16
"BM",2015,
"BN",2015,23.11
"BO",2015,32.45
"BR",2015,23.03
"BS",2015,20.92
"BT",2015,26.87
"BW",2015,32
"BY",2015,16.07
"BZ",2015,32.45
"CA",2015,15.97
"CD",2015,45.99
"CF",2015,39.05
"CG",2015,42.63
"CH",2015,14.78
"CI",2015,42.47
"CL",2015,20.15
"CM",2015,42.52
"CN",2015,17.23
"CO",2015,24.29
"CR",2015,22.31
"CU",2015,16.31
"CV",2015,29.65
"CW",2015,18.98
"CY",2015,16.55
"CZ",2015,15.04
"DE",2015,12.89
"DJ",2015,32.74
"DK",2015,16.88
"DM",2015,
"DO",2015,29.96
"DZ",2015,28.54
"EC",2015,29.02
"EE",2015,16.09
"EG",2015,33.16
"ER",2015,
"ES",2015,14.88
"ET",2015,41.44
"EU",2015,15.5
"FI",2015,16.34
"FJ",2015,28.74
"FM",2015,34.07
"FO",2015,
"FR",2015,18.48
"GA",2015,37.13
"GB",2015,17.77
"GD",2015,26.48
"GE",2015,17.33
"GH",2015,38.82
"GI",2015,
"GL",2015,
"GM",2015,46.18
"GN",2015,42.53
"GQ",2015,39.26
"GR",2015,14.6
"GT",2015,36.62
"GU",2015,25.47
"GW",2015,40.79
"GY",2015,28.81
"HK",2015,11.96
"HN",2015,31.76
"HR",2015,14.89
"HT",2015,33.74
"HU",2015,14.56
"ID",2015,27.69
"IE",2015,21.78
"IL",2015,27.83
"IM",2015,
"IN",2015,28.79
"IQ",2015,40.98
"IR",2015,23.61
"IS",2015,20.32
"IT",2015,13.71
"JM",2015,23.58
"JO",2015,35.53
"JP",2015,12.86
"KE",2015,41.91
"KG",2015,31.4
"KH",2015,31.6
"KI",2015,34.95
"KM",2015,40.27
"KN",2015,
"KP",2015,21.17
"KR",2015,13.99
"KW",2015,22.32
"KY",2015,
"KZ",2015,26.72
"LA",2015,34.77
"LB",2015,23.99
"LC",2015,23.13
"LI",2015,
"LK",2015,24.57
"LR",2015,42.31
"LS",2015,36.07
"LT",2015,14.51
"LU",2015,16.43
"LV",2015,14.92
"LY",2015,29.83
"MA",2015,27.22
"MC",2015,
"MD",2015,15.73
"ME",2015,18.65
"MF",2015,
"MG",2015,41.71
"MH",2015,
"MK",2015,16.95
"ML",2015,47.53
"MM",2015,27.55
"MN",2015,28.23
"MO",2015,13.01
"MP",2015,
"MR",2015,40.02
"MT",2015,14.43
"MU",2015,19.32
"MV",2015,27.48
"MW",2015,45.16
"MX",2015,27.61
"MY",2015,25.02
"MZ",2015,45.3
"NA",2015,36.69
"NC",2015,22.23
"NE",2015,50.47
"NG",2015,43.99
"NI",2015,30.03
"NL",2015,16.52
"NO",2015,17.97
"NP",2015,32.66
"NR",2015,
"NZ",2015,20.21
"OM",2015,20.52
"PA",2015,27.16
"PE",2015,27.9
"PF",2015,22.14
"PG",2015,37.14
"PH",2015,31.95
"PK",2015,35.01
"PL",2015,14.95
"PR",2015,18.88
"PS",2015,40.22
"PT",2015,14.05
"PW",2015,
"PY",2015,30.13
"QA",2015,15.52
"RO",2015,15.52
"RS",2015,16.3
"RU",2015,16.75
"RW",2015,41.05
"SA",2015,28.58
"SB",2015,39.49
"SC",2015,23.45
"SD",2015,40.5
"SE",2015,17.28
"SG",2015,15.54
"SI",2015,14.78
"SK",2015,15.12
"SL",2015,42.36
"SM",2015,
"SN",2015,43.76
"SO",2015,46.71
"SR",2015,26.78
"SS",2015,42.09
"ST",2015,42.63
"SV",2015,27.03
"SX",2015,
"SY",2015,37.12
"SZ",2015,37.35
"TC",2015,
"TD",2015,47.72
"TG",2015,42.24
"TH",2015,17.71
"TJ",2015,34.84
"TL",2015,42.41
"TM",2015,28.22
"TN",2015,23.36
"TO",2015,36.76
"TR",2015,25.67
"TT",2015,20.78
"TV",2015,
"TZ",2015,45.2
"UA",2015,14.93
"UG",2015,48.09
"US",2015,18.95
"UY",2015,21.41
"UZ",2015,28.52
"VC",2015,24.53
"VE",2015,28.11
"VG",2015,
"VI",2015,20.36
"VN",2015,23.09
"VU",2015,36.53
"WS",2015,37.29
"XK",2015,25.74
"YE",2015,40.26
"ZA",2015,29.24
"ZM",2015,45.91
"ZW",2015,41.6
"AD",2014,
"AE",2014,13.83
"AF",2014,44.87
"AG",2014,24.55
"AL",2014,18.93
"AM",2014,18.66
"AO",2014,47.85
"AR",2014,25.35
"AS",2014,
"AT",2014,14.28
"AU",2014,18.71
"AW",2014,18.84
"AZ",2014,22.04
"BA",2014,13.65
"BB",2014,19.44
"BD",2014,29.98
"BE",2014,16.89
"BF",2014,45.79
"BG",2014,13.98
"BH",2014,21.21
"BI",2014,44.64
"BJ",2014,42.47
"BM",2014,
"BN",2014,23.54
"BO",2014,32.89
"BR",2014,23.53
"BS",2014,21.1
"BT",2014,27.44
"BW",2014,32.2
"BY",2014,15.77
"BZ",2014,33.09
"CA",2014,16.04
"CD",2014,46.16
"CF",2014,39.39
"CG",2014,42.61
"CH",2014,14.76
"CI",2014,42.72
"CL",2014,20.46
"CM",2014,42.76
"CN",2014,17.2
"CO",2014,24.7
"CR",2014,22.7
"CU",2014,16.56
"CV",2014,29.97
"CW",2014,19.07
"CY",2014,16.75
"CZ",2014,14.85
"DE",2014,12.98
"DJ",2014,33
"DK",2014,17.07
"DM",2014,
"DO",2014,30.26
"DZ",2014,28.21
"EC",2014,29.34
"EE",2014,15.82
"EG",2014,32.98
"ER",2014,
"ES",2014,14.87
"ET",2014,42.07
"EU",2014,15.51
"FI",2014,16.32
"FJ",2014,28.79
"FM",2014,34.56
"FO",2014,
"FR",2014,18.51
"GA",2014,37.29
"GB",2014,17.7
"GD",2014,26.58
"GE",2014,17.21
"GH",2014,38.91
"GI",2014,
"GL",2014,
"GM",2014,46.32
"GN",2014,42.74
"GQ",2014,39.42
"GR",2014,14.64
"GT",2014,37.12
"GU",2014,25.85
"GW",2014,40.98
"GY",2014,29.81
"HK",2014,11.89
"HN",2014,32.53
"HR",2014,14.97
"HT",2014,34.16
"HU",2014,14.54
"ID",2014,27.98
"IE",2014,21.65
"IL",2014,27.77
"IM",2014,
"IN",2014,29.21
"IQ",2014,41.15
"IR",2014,23.52
"IS",2014,20.42
"IT",2014,13.79
"JM",2014,24.15
"JO",2014,35.85
"JP",2014,12.94
"KE",2014,42.13
"KG",2014,31.05
"KH",2014,31.8
"KI",2014,35.01
"KM",2014,40.48
"KN",2014,
"KP",2014,21.44
"KR",2014,14.31
"KW",2014,22.48
"KY",2014,
"KZ",2014,26.13
"LA",2014,35.1
"LB",2014,24.06
"LC",2014,23.54
"LI",2014,
"LK",2014,24.79
