"di_id","colour","detail","source_title","source_link"
"CV","orange","DHS 2005","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/98"
"DZ","red","MICS 2006","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/737/study-description"
"AO","orange","DHS (2015)","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-477.cfm"
"BJ","orange","DHS 2011 (2016)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4200"
"BW","red","HIES 2002; DHS 1988","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-23.cfm"
"BF","orange","DHS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3388"
"BI","orange","DHS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3387"
"CM","orange","DHS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3368/related_materials"
"CF","orange","MICS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4742"
"TD","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-465.cfm"
"KM","green","DHS 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4741"
"CG","orange","DHS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3783"
"CI","orange","DHS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6036"
"CD","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5256"
"DJ","red","MICS 2006","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/76"
"EG","green","DHS 2014","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6007"
"GQ","orange","DHS 2011","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-314.cfm"
"ER","red","DHS 2002","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/153"
"ET","orange","DHS 2011 (2016)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2429"
"GA","green","DHS 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3357"
"GM","green","DHS 2013","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-425.cfm"
"GH","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-437.cfm"
"GN","green","DHS 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4086"
"GW","orange","MICS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2960"
"KE","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-451.cfm"
"LS","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-462.cfm"
"LR","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5402"
"LY","orange","NS (2011)","Institute of Human Sciences, Oxford","http://www.ihs.ox.ac.uk/fileadmin/IHS/First_National_Survey_of_Libya_Cover_Sheet_and_Technical_Summary.pdf"
"MG","orange","DHS 2008 (2016)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2440"
"MW","orange","DHS 2010 (2015)","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-483.cfm"
"ML","green","DHS 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5128"
"MR","orange","MICS (2011)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5872/related_materials"
"MU","green","Continuous Multipurpose Household Survey 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4398"
"MA","orange","Household Panel Survey 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6106/study-description"
"MZ","orange","DHS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/3367"
"NA","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5873"
"NE","green","DHS 2012","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-407.cfm"
"NG","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4749"
"RW","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-468.cfm"
"ST","green","MICS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-470.cfm"
"SN","green","DHS 2014","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-457.cfm"
"SC","orange","Household Budget Survey 2013","Household Budget Survey 2013","http://www.nsb.gov.sc/wp-content/uploads/2015/06/HBS-2013-Report.pdf"
"SL","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5501"
"SO","red","MICS 2006","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/977"
"ZA","green","General Household Survey 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/5554/study-description"
"SS","red","National Baseline Household Survey 2009","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2175"
"SD","red","National Baseline Household Survey 2009","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2131"
"SZ","orange","MICS 2010","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2861"
"TZ","green","DHS 2015","The Demographic and Health Surveys Programme","http://dhsprogram.com/what-we-do/survey/survey-display-485.cfm"
"TG","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6229/study-description"
"TN","orange","MICS 2011","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4701"
"UG","green","National Household Survey 2012","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/4620"
"EH","red","None",,
"ZM","green","DHS 2013","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/6251"
"ZW","orange","DHS 2010 (2015)","International Household Survey Network","http://catalog.ihsn.org/index.php/catalog/2482"
