"di_id","year","value_1","value","value_3"
"AL",1992,0.31,0.31,
"LV",1993,0,0,0
"LT",2000,0.4,0.4,
"HR",2005,0,0,0
"HR",2010,0,0,0
"ID",2013,9.83,9.83,9.83
"IN",2013,17.03,17.03,17.03
"IR",2013,0.08,0.08,0.08
"JM",2013,1.84,1.84,1.84
"KE",2013,25.05,25.05,25.05
"KG",2013,3.26,3.26,3.26
"KH",2013,1.69,1.69,1.69
"KI",2013,13.86,13.86,13.86
"KM",2013,13.96,13.96,13.96
"KZ",2013,0.04,0.04,0.04
"LA",2013,15.09,15.09,15.09
"LC",2013,29.3,29.3,29.3
"LK",2013,1.78,1.78,1.78
"LR",2013,54.08,54.08,54.08
"LS",2013,56.13,56.13,56.13
"LT",2013,1.02,1.02,1.02
"LV",2013,1.23,1.23,1.23
"MA",2013,1.35,1.35,1.35
"MD",2013,0.08,0.08,0.08
"ME",2013,1.04,1.04,1.04
"MG",2013,78.02,78.02,78.02
"MK",2013,2.19,2.19,2.19
"ML",2013,51.72,51.72,51.72
"MN",2013,0.31,0.31,0.31
"MR",2013,6.92,6.92,6.92
"MU",2013,0.5,0.5,0.5
"MV",2013,4.67,4.67,4.67
"MW",2013,70.3,70.3,70.3
"MX",2013,2.83,2.83,2.83
"MY",2013,0.09,0.09,0.09
"MZ",2013,59.95,59.95,59.95
"NA",2013,18.01,18.01,18.01
"NE",2013,47.03,47.03,47.03
"NG",2013,49.74,49.74,49.74
"NI",2013,6.97,6.97,6.97
"NP",2013,8.46,8.46,8.46
"PA",2013,2.86,2.86,2.86
"PE",2013,3.7,3.7,3.7
"PG",2013,31.49,31.49,31.49
"PH",2013,11.69,11.69,11.69
"PK",2013,6.99,6.99,6.99
"PL",2013,0.01,0.01,0.01
"PS",2013,0.27,0.27,0.27
"PY",2013,2.19,2.19,2.19
"RO",2013,0,0,0
"RS",2013,0.19,0.19,0.19
"RU",2013,0.03,0.03,0.03
"RW",2013,60.34,60.34,60.34
"SB",2013,33.05,33.05,33.05
"SC",2013,1.06,1.06,1.06
"SD",2013,9.27,9.27,9.27
"SI",2013,0.03,0.03,0.03
"SK",2013,0.24,0.24,0.24
"SL",2013,31.62,31.62,31.62
"SN",2013,37.52,37.52,37.52
"SR",2013,17.82,17.82,17.82
"SS",2013,70.51,70.51,70.51
"ST",2013,27.94,27.94,27.94
"SV",2013,3.25,3.25,3.25
"SZ",2013,41.06,41.06,41.06
"TD",2013,34.9,34.9,34.9
"TG",2013,51.9,51.9,51.9
"TH",2013,0.04,0.04,0.04
"LR",1984,5.99,5.99,5.99
"LS",1984,75.73,75.73,75.73
"LT",1984,0.14,0.14,0.14
"LV",1984,0.04,0.04,0.04
"MA",1984,11.22,11.22,11.22
"ME",1984,2.98,2.98,2.98
"MG",1984,57.66,57.66,57.66
"MK",1984,0,0,0
"ML",1984,89.69,89.69,89.69
"MN",1984,10.27,10.27,10.27
"MR",1984,41.05,41.05,41.05
"MU",1984,14.91,14.91,14.91
"MV",1984,54.62,54.62,54.62
"MW",1984,65,65,65
"MX",1984,7.93,7.93,7.93
"MY",1984,2.88,2.88,2.88
"MZ",1984,93.76,93.76,93.76
"NA",1984,50.47,50.47,50.47
"NE",1984,73.05,73.05,73.05
"NG",1984,46.65,46.65,46.65
"NI",1984,27.97,27.97,27.97
"NP",1984,75.31,75.31,75.31
"PA",1984,15.38,15.38,15.38
"PE",1984,18.09,18.09,18.09
"PG",1984,62.81,62.81,62.81
"PH",1984,26.11,26.11,26.11
"PK",1984,62.76,62.76,62.76
"PL",1984,0.17,0.17,0.17
"PS",1984,4.94,4.94,4.94
"PY",1984,1.89,1.89,1.89
"RO",1984,0.18,0.18,0.18
"RS",1984,2.58,2.58,2.58
"RU",1984,0.61,0.61,0.61
"RW",1984,62.57,62.57,62.57
"SC",1984,3.15,3.15,3.15
"SD",1984,45.25,45.25,45.25
"SI",1984,0.03,0.03,0.03
"SK",1984,0,0,0
"SL",1984,61.45,61.45,61.45
"SN",1984,66.66,66.66,66.66
"SR",1984,20.87,20.87,20.87
"SS",1984,51.25,51.25,51.25
"ST",1984,41.57,41.57,41.57
"SV",1984,18.69,18.69,18.69
"SZ",1984,91.05,91.05,91.05
"TD",1984,73.17,73.17,73.17
"TG",1984,48.74,48.74,48.74
"TH",1984,17.5,17.5,17.5
"TJ",1984,2.11,2.11,2.11
"TL",1984,99.58,99.58,99.58
"TM",1984,47.33,47.33,47.33
"TN",1984,13.63,13.63,13.63
"TO",1984,5.94,5.94,5.94
"TR",1984,2.8,2.8,2.8
"TT",1984,0,0,0
"TV",1984,16.08,16.08,16.08
"TZ",1984,71.82,71.82,71.82
"UA",1984,1.02,1.02,1.02
"UG",1984,86.59,86.59,86.59
"UY",1984,1.44,1.44,1.44
"UZ",1984,0,0,0
"VE",1984,1.76,1.76,1.76
"VN",1984,75.93,75.93,75.93
"VU",1984,14.62,14.62,14.62
"WS",1984,8.7,8.7,8.7
"XK",1984,1.95,1.95,1.95
"ZA",1984,23.77,23.77,23.77
"ZM",1984,50.99,50.99,50.99
"ZW",1984,6.55,6.55,6.55
"AL",1985,0.06,0.06,
"AM",1985,6.72,6.72,
"AO",1985,47.69,47.69,
"AZ",1985,0.52,0.52,
"BA",1985,0.31,0.31,
"BD",1985,36.98,36.98,
"BF",1985,85.03,85.03,
"BG",1985,0.05,0.05,
"BI",1985,84.17,84.17,
"BJ",1985,58.4,58.4,
"BO",1985,9.84,9.84,
"BR",1985,25.98,25.98,
"BT",1985,94.35,94.35,
"BW",1985,43.54,43.54,
"BY",1985,0.11,0.11,
"BZ",1985,21.35,21.35,
"CD",1985,61.43,61.43,
"CF",1985,79.68,79.68,
"CG",1985,41.3,41.3,
"CI",1985,6.61,6.61,
"CL",1985,9.13,9.13,
"CM",1985,18.71,18.71,
"CN",1985,70.79,70.79,
"CO",1985,9.06,9.06,
"CR",1985,17.87,17.87,
"CV",1985,59.47,59.47,
"CZ",1985,0,0,
"DJ",1985,2.86,2.86,
"DO",1985,37.24,37.24,
"EC",1985,23.71,23.71,
"EE",1985,0.07,0.07,
"ET",1985,56.39,56.39,
"FJ",1985,12.55,12.55,
"FM",1985,16.92,16.92,
"GA",1985,5.3,5.3,
"GE",1985,1.74,1.74,
"GH",1985,43.23,43.23,
"GM",1985,67.52,67.52,
"GN",1985,92.43,92.43,
"GT",1985,48.58,48.58,
"GW",1985,47.21,47.21,
"GY",1985,39.4,39.4,
"HN",1985,38.75,38.75,
"HR",1985,0.06,0.06,
"HT",1985,59.27,59.27,
"HU",1985,0.06,0.06,
"ID",1985,70.25,70.25,
"IN",1985,45.42,45.42,
"IR",1985,7.54,7.54,
"JM",1985,8.43,8.43,
"KE",1985,23.94,23.94,
"KG",1985,0,0,
"KH",1985,41,41,
"KI",1985,16.48,16.48,
"KM",1985,9.61,9.61,
"KZ",1985,0.01,0.01,
"LA",1985,43.87,43.87,
"LC",1985,62.06,62.06,
"LK",1985,13.8,13.8,
"LR",1985,6.26,6.26,
"LS",1985,75.5,75.5,
"LT",1985,0.12,0.12,
"LV",1985,0.04,0.04,
"MA",1985,10.11,10.11,
"MD",1985,0,0,
"ME",1985,2.55,2.55,
"MG",1985,58.64,58.64,
"MK",1985,0,0,
"ML",1985,88.65,88.65,
"MN",1985,9.34,9.34,
"MR",1985,40.72,40.72,
"MU",1985,12.37,12.37,
"MV",1985,52.03,52.03,
"MW",1985,66.67,66.67,
"MX",1985,8.79,8.79,
"MY",1985,2.61,2.61,
"MZ",1985,93.26,93.26,
"NA",1985,50.75,50.75,
"NE",1985,72.02,72.02,
"NG",1985,50.65,50.65,
"NI",1985,27.31,27.31,
"NP",1985,74.19,74.19,
"PA",1985,16.66,16.66,
"PE",1985,16.03,16.03,
"PG",1985,62.33,62.33,
"PH",1985,26.37,26.37,
"PK",1985,62.56,62.56,
"PL",1985,0.15,0.15,
"PS",1985,4.65,4.65,
"PY",1985,1.79,1.79,
"RO",1985,0.2,0.2,
"RS",1985,2.29,2.29,
"RU",1985,0.78,0.78,
"RW",1985,63.81,63.81,
"SB",1985,,,
"SC",1985,2.89,2.89,
"SD",1985,44.41,44.41,
"SI",1985,0.03,0.03,
"SK",1985,0,0,
"SL",1985,61.93,61.93,
"SN",1985,66.27,66.27,
"SR",1985,22.52,22.52,
"SS",1985,50.87,50.87,
"ST",1985,40.82,40.82,
"SV",1985,18.83,18.83,
"SZ",1985,90.11,90.11,
"TD",1985,72.41,72.41,
"TG",1985,49.25,49.25,
"TH",1985,16.8,16.8,
"TJ",1985,2.17,2.17,
"TL",1985,99.34,99.34,
"TM",1985,46.87,46.87,
"TN",1985,13.45,13.45,
"TO",1985,5.45,5.45,
"TR",1985,2.4,2.4,
"TT",1985,0,0,
"TV",1985,14.77,14.77,
"TZ",1985,71.51,71.51,
"UA",1985,0.94,0.94,
"UG",1985,87.32,87.32,
"UY",1985,1.07,1.07,
"UZ",1985,0,0,
"VE",1985,1.45,1.45,
"VN",1985,73.57,73.57,
"VU",1985,14.62,14.62,
"WS",1985,8.07,8.07,
"XK",1985,1.86,1.86,
"ZA",1985,24.57,24.57,
"ZM",1985,51.36,51.36,
"ZW",1985,6.67,6.67,
"AL",1986,0.06,0.06,
"AM",1986,7.45,7.45,
"AO",1986,47.38,47.38,
"AZ",1986,0.52,0.52,
"BA",1986,0.31,0.31,
"BD",1986,38.16,38.16,
"BF",1986,84.48,84.48,
"BG",1986,0.05,0.05,
"BI",1986,82.92,82.92,
"BJ",1986,58.52,58.52,
"BO",1986,9.31,9.31,
"BR",1986,22.05,22.05,
"BT",1986,93.34,93.34,
"BW",1986,41.96,41.96,
"BY",1986,0.13,0.13,
"BZ",1986,21,21,
"CD",1986,61.52,61.52,
"CF",1986,80.05,80.05,
"CG",1986,44,44,
"CI",1986,6.4,6.4,
"CL",1986,8.79,8.79,
"CM",1986,18.3,18.3,
"CN",1986,65.81,65.81,
"CO",1986,8.93,8.93,
"CR",1986,15.23,15.23,
"CV",1986,57.76,57.76,
"CZ",1986,0,0,
"DJ",1986,3.68,3.68,
"DO",1986,36.99,36.99,
"EC",1986,23.43,23.43,
"EE",1986,0.06,0.06,
"ET",1986,56.22,56.22,
"FJ",1986,13.38,13.38,
"FM",1986,17.23,17.23,
"GA",1986,7.11,7.11,
"GE",1986,1.9,1.9,
"GH",1986,42.03,42.03,
"GM",1986,68.51,68.51,
"GN",1986,92.36,92.36,
"GT",1986,47.72,47.72,
"GW",1986,47.26,47.26,
"GY",1986,38.41,38.41,
"HN",1986,38.93,38.93,
"HR",1986,0.05,0.05,
"HT",1986,58.92,58.92,
"HU",1986,0.06,0.06,
"ID",1986,70.19,70.19,
"IN",1986,44.05,44.05,
"IR",1986,8.71,8.71,
"JM",1986,8.19,8.19,
"KE",1986,23.24,23.24,
"KG",1986,0,0,
"KH",1986,39.64,39.64,
"KI",1986,17.93,17.93,
"KM",1986,9.94,9.94,
"KZ",1986,0.02,0.02,
"LA",1986,41.4,41.4,
"LC",1986,61.22,61.22,
"LK",1986,12.77,12.77,
"LR",1986,6.52,6.52,
"LS",1986,75.28,75.28,
"LT",1986,0.11,0.11,
"LV",1986,0.03,0.03,
"MA",1986,8.99,8.99,
"MD",1986,0,0,
"ME",1986,2.12,2.12,
"MG",1986,59.63,59.63,
"ML",1986,87.6,87.6,
"MN",1986,8.42,8.42,
"MR",1986,40.38,40.38,
"MU",1986,9.82,9.82,
"MV",1986,49.43,49.43,
"MW",1986,68.35,68.35,
"MX",1986,9.65,9.65,
"MY",1986,2.33,2.33,
"MZ",1986,92.77,92.77,
"NA",1986,51.02,51.02,
"NE",1986,71,71,
"NG",1986,54.66,54.66,
"NI",1986,26.66,26.66,
"NP",1986,73.08,73.08,
"PA",1986,17.95,17.95,
"PE",1986,13.96,13.96,
"PG",1986,61.86,61.86,
"PH",1986,26.63,26.63,
"PK",1986,62.36,62.36,
"PL",1986,0.14,0.14,
"PS",1986,4.36,4.36,
"PY",1986,1.7,1.7,
"RO",1986,0.22,0.22,
"RS",1986,2,2,
"RU",1986,0.94,0.94,
"RW",1986,65.05,65.05,
"SB",1986,,,
"SC",1986,2.63,2.63,
"SD",1986,43.58,43.58,
"SI",1986,0.02,0.02,
"SK",1986,0,0,
"SL",1986,62.41,62.41,
"SN",1986,65.88,65.88,
"SR",1986,24.18,24.18,
"SS",1986,50.5,50.5,
"ST",1986,40.06,40.06,
"SV",1986,18.96,18.96,
"SZ",1986,89.17,89.17,
"TD",1986,71.65,71.65,
"TG",1986,49.76,49.76,
"TH",1986,16.09,16.09,
"TJ",1986,2.23,2.23,
"TL",1986,99.09,99.09,
"TM",1986,46.4,46.4,
"TN",1986,13.26,13.26,
"TO",1986,4.96,4.96,
"TR",1986,2.01,2.01,
"TT",1986,0,0,
"TV",1986,13.47,13.47,
"TZ",1986,71.2,71.2,
"UA",1986,0.87,0.87,
"UG",1986,88.06,88.06,
"UY",1986,0.71,0.71,
"UZ",1986,0,0,
"VE",1986,1.13,1.13,
"VN",1986,71.22,71.22,
"VU",1986,14.62,14.62,
"WS",1986,7.43,7.43,
"XK",1986,1.77,1.77,
"ZA",1986,25.37,25.37,
"ZM",1986,51.74,51.74,
"ZW",1986,6.78,6.78,
"AL",1987,0.06,0.06,0.06
"AM",1987,8.19,8.19,8.19
"AO",1987,47.08,47.08,47.08
"AZ",1987,0.53,0.53,0.53
"BA",1987,0.31,0.31,0.31
"BD",1987,39.34,39.34,39.34
"BF",1987,83.94,83.94,83.94
"BG",1987,0.05,0.05,0.05
"BI",1987,81.66,81.66,81.66
"BJ",1987,58.63,58.63,58.63
"BO",1987,8.77,8.77,8.77
"BR",1987,18.13,18.13,18.13
"BT",1987,92.33,92.33,92.33
"BW",1987,40.38,40.38,40.38
"BY",1987,0.14,0.14,0.14
"BZ",1987,20.64,20.64,20.64
"CD",1987,61.6,61.6,61.6
"CF",1987,80.43,80.43,80.43
"CG",1987,46.7,46.7,46.7
"CI",1987,6.2,6.2,6.2
"CL",1987,8.46,8.46,8.46
"CM",1987,17.89,17.89,17.89
"CN",1987,60.84,60.84,60.84
"CO",1987,8.81,8.81,8.81
"CR",1987,12.58,12.58,12.58
"CV",1987,56.06,56.06,56.06
"CZ",1987,0,0,0
"DJ",1987,4.5,4.5,4.5
"DO",1987,36.74,36.74,36.74
"EC",1987,23.16,23.16,23.16
"EE",1987,0.06,0.06,0.06
"ET",1987,56.04,56.04,56.04
"FJ",1987,14.2,14.2,14.2
"FM",1987,17.54,17.54,17.54
"GA",1987,8.92,8.92,8.92
"GE",1987,2.05,2.05,2.05
"GH",1987,40.82,40.82,40.82
"GM",1987,69.51,69.51,69.51
"GN",1987,92.29,92.29,92.29
"GT",1987,46.87,46.87,46.87
"GW",1987,47.32,47.32,47.32
"GY",1987,37.41,37.41,37.41
"HN",1987,39.11,39.11,39.11
"HR",1987,0.05,0.05,0.05
"HT",1987,58.56,58.56,58.56
"HU",1987,0.06,0.06,0.06
"ID",1987,70.13,70.13,70.13
"IN",1987,42.67,42.67,42.67
"IR",1987,9.89,9.89,9.89
"JM",1987,7.95,7.95,7.95
"KE",1987,22.54,22.54,22.54
"KG",1987,0,0,0
"KH",1987,38.29,38.29,38.29
"KI",1987,19.37,19.37,19.37
"KM",1987,10.26,10.26,10.26
"KZ",1987,0.02,0.02,0.02
"LA",1987,38.94,38.94,38.94
"LC",1987,60.39,60.39,60.39
"LK",1987,11.74,11.74,11.74
"LR",1987,6.79,6.79,6.79
"LS",1987,75.05,75.05,75.05
"LT",1987,0.09,0.09,0.09
"LV",1987,0.03,0.03,0.03
"MA",1987,7.88,7.88,7.88
"MD",1987,0,0,0
"ME",1987,1.69,1.69,1.69
"MG",1987,60.61,60.61,60.61
"MK",1987,0,0,0
"ML",1987,86.56,86.56,86.56
"MN",1987,7.49,7.49,7.49
"MR",1987,40.05,40.05,40.05
"MU",1987,7.28,7.28,7.28
"MV",1987,46.84,46.84,46.84
"MW",1987,70.02,70.02,70.02
"MX",1987,10.51,10.51,10.51
"MY",1987,2.06,2.06,2.06
"MZ",1987,92.27,92.27,92.27
"NA",1987,51.3,51.3,51.3
"NE",1987,69.97,69.97,69.97
"NG",1987,58.66,58.66,58.66
"NI",1987,26,26,26
"NP",1987,71.96,71.96,71.96
"PA",1987,19.23,19.23,19.23
"PE",1987,11.9,11.9,11.9
"PG",1987,61.38,61.38,61.38
"PH",1987,26.89,26.89,26.89
"PK",1987,62.16,62.16,62.16
"PL",1987,0.12,0.12,0.12
"PS",1987,4.07,4.07,4.07
"PY",1987,1.6,1.6,1.6
"RO",1987,0.24,0.24,0.24
"RS",1987,1.71,1.71,1.71
"RU",1987,1.11,1.11,1.11
"RW",1987,66.29,66.29,66.29
"SC",1987,2.37,2.37,2.37
"SD",1987,42.74,42.74,42.74
"SI",1987,0.02,0.02,0.02
"SK",1987,0,0,0
"SL",1987,62.89,62.89,62.89
"SN",1987,65.49,65.49,65.49
"SR",1987,25.83,25.83,25.83
"SS",1987,50.12,50.12,50.12
"ST",1987,39.31,39.31,39.31
"SV",1987,19.1,19.1,19.1
"SZ",1987,88.23,88.23,88.23
"TD",1987,70.89,70.89,70.89
"TG",1987,50.27,50.27,50.27
"TH",1987,15.39,15.39,15.39
"TJ",1987,2.29,2.29,2.29
"TL",1987,98.85,98.85,98.85
"TM",1987,45.94,45.94,45.94
"TN",1987,13.08,13.08,13.08
"TO",1987,4.47,4.47,4.47
"TR",1987,1.61,1.61,1.61
"TT",1987,0,0,0
"TV",1987,12.16,12.16,12.16
"TZ",1987,70.89,70.89,70.89
"UA",1987,0.79,0.79,0.79
"UG",1987,88.79,88.79,88.79
"UY",1987,0.34,0.34,0.34
"UZ",1987,0,0,0
"VE",1987,0.82,0.82,0.82
"VN",1987,68.86,68.86,68.86
"VU",1987,14.62,14.62,14.62
"WS",1987,6.8,6.8,6.8
"XK",1987,1.68,1.68,1.68
"ZA",1987,26.17,26.17,26.17
"ZM",1987,52.11,52.11,52.11
"ZW",1987,6.9,6.9,6.9
"AM",1988,9.08,9.08,
"AO",1988,46.87,46.87,
"AZ",1988,0.56,0.56,
"BA",1988,0.31,0.31,
"BD",1988,40.04,40.04,
"BF",1988,84.01,84.01,
"BG",1988,0.06,0.06,
"BI",1988,81.62,81.62,
"BJ",1988,58.7,58.7,
"BO",1988,8.76,8.76,
"BR",1988,18.94,18.94,
"BT",1988,90.68,90.68,
"BW",1988,38.11,38.11,
"BY",1988,0.14,0.14,
"BZ",1988,18.28,18.28,
"CD",1988,64.37,64.37,
"CF",1988,80.8,80.8,
"CG",1988,47.15,47.15,
"CI",1988,8.9,8.9,
"CL",1988,8.28,8.28,
"CM",1988,23.07,23.07,
"CN",1988,62.75,62.75,
"CO",1988,8.61,8.61,
"CR",1988,11.69,11.69,
"CV",1988,55.07,55.07,
"CZ",1988,0,0,
"DJ",1988,5.9,5.9,
"DO",1988,34.56,34.56,
"EC",1988,22.68,22.68,
"EE",1988,0.28,0.28,
"ET",1988,57.47,57.47,
"FJ",1988,12.94,12.94,
"FM",1988,17.28,17.28,
"GA",1988,7.76,7.76,
"GE",1988,4.41,4.41,
"GH",1988,41.75,41.75,
"GM",1988,69.43,69.43,
"GN",1988,92.12,92.12,
"GT",1988,43.17,43.17,
"GW",1988,46.18,46.18,
"GY",1988,38.82,38.82,
"HN",1988,40.83,40.83,
"HR",1988,0.12,0.12,
"HT",1988,58.21,58.21,
"HU",1988,0.07,0.07,
"ID",1988,65.84,65.84,
"IN",1988,41.4,41.4,
"IR",1988,8.59,8.59,
"JM",1988,6.82,6.82,
"KE",1988,22.05,22.05,
"KG",1988,11.44,11.44,
"KH",1988,37.13,37.13,
"KI",1988,18.91,18.91,
"KM",1988,10.57,10.57,
"KZ",1988,0.02,0.02,
"LA",1988,35.69,35.69,
"LC",1988,53.92,53.92,
"LK",1988,10.89,10.89,
"LR",1988,20.92,20.92,
"LS",1988,73.89,73.89,
"LT",1988,1.95,1.95,
"LV",1988,0.03,0.03,
"MA",1988,6.74,6.74,
"MD",1988,0.82,0.82,
"ME",1988,1.31,1.31,
"MG",1988,60.27,60.27,
"MK",1988,0.41,0.41,
"ML",1988,86.36,86.36,
"MN",1988,7.61,7.61,
"MR",1988,40.59,40.59,
"MU",1988,6.2,6.2,
"MV",1988,44.35,44.35,
"MW",1988,70.75,70.75,
"MX",1988,10.35,10.35,
"MY",1988,1.85,1.85,
"MZ",1988,91.56,91.56,
"NA",1988,52.07,52.07,
"NE",1988,70.49,70.49,
"NG",1988,56.5,56.5,
"NI",1988,25.33,25.33,
"NP",1988,70.79,70.79,
"PA",1988,21.06,21.06,
"PE",1988,14.65,14.65,
"PG",1988,62.43,62.43,
"PH",1988,26.31,26.31,
"PK",1988,60.55,60.55,
"PL",1988,0.23,0.23,
"PS",1988,3.85,3.85,
"PY",1988,1.46,1.46,
"RO",1988,0.28,0.28,
"RS",1988,1.54,1.54,
"RU",1988,1.46,1.46,
"RW",1988,67.7,67.7,
"SB",1988,,,
"SC",1988,2.03,2.03,
"SD",1988,43.93,43.93,
"SI",1988,0.02,0.02,
"SK",1988,0,0,
"SL",1988,63.6,63.6,
"SN",1988,66.34,66.34,
"SR",1988,24.36,24.36,
"SS",1988,49.7,49.7,
"ST",1988,38.69,38.69,
"SV",1988,19.27,19.27,
"SZ",1988,86.35,86.35,
"TD",1988,69.99,69.99,
"TG",1988,50.02,50.02,
"TH",1988,13.38,13.38,
"TJ",1988,2.32,2.32,
"TL",1988,98.15,98.15,
"TM",1988,38.41,38.41,
"TN",1988,11.99,11.99,
"TO",1988,4.58,4.58,
"TR",1988,1.69,1.69,
"TT",1988,1.14,1.14,
"TV",1988,11.3,11.3,
"TZ",1988,70.13,70.13,
"UA",1988,0.92,0.92,
"UG",1988,85.4,85.4,
"UY",1988,0.48,0.48,
"UZ",1988,0,0,
"VE",1988,2.82,2.82,
"VN",1988,65.75,65.75,
"VU",1988,14.62,14.62,
"WS",1988,6.99,6.99,
"XK",1988,1.66,1.66,
"ZA",1988,26.23,26.23,
"ZM",1988,52.54,52.54,
"ZW",1988,6.05,6.05,
"AL",1989,0.09,0.09,
"AM",1989,9.97,9.97,
"AO",1989,46.67,46.67,
"AZ",1989,0.59,0.59,
"BA",1989,0.31,0.31,
"BD",1989,40.74,40.74,
"BF",1989,84.08,84.08,
"BG",1989,0.06,0.06,
"BI",1989,81.58,81.58,
"BJ",1989,58.77,58.77,
"BO",1989,8.75,8.75,
"BR",1989,19.75,19.75,
"BT",1989,89.04,89.04,
"BW",1989,35.85,35.85,
"BY",1989,0.15,0.15,
"BZ",1989,15.91,15.91,
"CD",1989,67.14,67.14,
"CF",1989,81.18,81.18,
"CG",1989,47.59,47.59,
"CI",1989,11.61,11.61,
"CL",1989,8.1,8.1,
"CM",1989,28.26,28.26,
"CN",1989,64.67,64.67,
"CO",1989,8.42,8.42,
"CR",1989,10.81,10.81,
"CV",1989,54.09,54.09,
"CZ",1989,0.01,0.01,
"DJ",1989,7.3,7.3,
"DO",1989,32.37,32.37,
"EC",1989,22.19,22.19,
"EE",1989,0.49,0.49,
"ET",1989,58.9,58.9,
"FJ",1989,11.69,11.69,
"FM",1989,17.01,17.01,
"GA",1989,6.61,6.61,
"GE",1989,6.77,6.77,
"GH",1989,42.67,42.67,
"GM",1989,69.35,69.35,
"GN",1989,91.96,91.96,
"GT",1989,39.47,39.47,
"GW",1989,45.05,45.05,
"GY",1989,40.23,40.23,
"HN",1989,42.56,42.56,
"HR",1989,0.19,0.19,
"HT",1989,57.87,57.87,
"HU",1989,0.09,0.09,
"ID",1989,61.56,61.56,
"IN",1989,40.13,40.13,
"IR",1989,7.3,7.3,
"JM",1989,5.69,5.69,
"KE",1989,21.55,21.55,
"KG",1989,22.88,22.88,
"KH",1989,35.98,35.98,
"KI",1989,18.46,18.46,
"KM",1989,10.89,10.89,
"KZ",1989,0.03,0.03,
"LA",1989,32.45,32.45,
"LC",1989,47.45,47.45,
"LK",1989,10.04,10.04,
"LR",1989,35.06,35.06,
"LS",1989,72.72,72.72,
"LT",1989,3.8,3.8,
"LV",1989,0.04,0.04,
"MA",1989,5.59,5.59,
"MD",1989,1.63,1.63,
"ME",1989,0.93,0.93,
"MG",1989,59.93,59.93,
"MK",1989,0.81,0.81,
"ML",1989,86.17,86.17,
"MN",1989,7.72,7.72,
"MR",1989,41.13,41.13,
"MU",1989,5.11,5.11,
"MV",1989,41.86,41.86,
"MW",1989,71.48,71.48,
"MX",1989,10.19,10.19,
"MY",1989,1.65,1.65,
"MZ",1989,90.85,90.85,
"NA",1989,52.83,52.83,
"NE",1989,71.02,71.02,
"NG",1989,54.33,54.33,
"NI",1989,24.65,24.65,
"NP",1989,69.62,69.62,
"PA",1989,22.88,22.88,
"PE",1989,17.39,17.39,
"PG",1989,63.49,63.49,
"PH",1989,25.74,25.74,
"PK",1989,58.94,58.94,
"PS",1989,3.62,3.62,
"PY",1989,1.33,1.33,
"RO",1989,0.33,0.33,
"RS",1989,1.37,1.37,
"RU",1989,1.81,1.81,
"RW",1989,69.11,69.11,
"SC",1989,1.7,1.7,
"SD",1989,45.13,45.13,
"SI",1989,0.03,0.03,
"SK",1989,0,0,
"SL",1989,64.32,64.32,
"SN",1989,67.2,67.2,
