"di_id","year","value_1","value","value_3"
"MK",1986,0,0,
"SB",1987,,,
"AL",1988,0.08,0.08,
"SB",1989,,,
"SI",1992,0.04,0.04,
"AL",1995,0.87,0.87,
"RO",2011,0,0,0
"AL",1984,0.06,0.06,0.06
"AM",1984,5.98,5.98,5.98
"AO",1984,47.99,47.99,47.99
"AZ",1984,0.51,0.51,0.51
"BA",1984,0.31,0.31,0.31
"BD",1984,35.8,35.8,35.8
"BF",1984,85.57,85.57,85.57
"BG",1984,0.05,0.05,0.05
"BI",1984,85.43,85.43,85.43
"BJ",1984,58.29,58.29,58.29
"BO",1984,10.38,10.38,10.38
"BR",1984,29.9,29.9,29.9
"BT",1984,95.36,95.36,95.36
"BW",1984,45.12,45.12,45.12
"BY",1984,0.1,0.1,0.1
"BZ",1984,21.71,21.71,21.71
"CD",1984,61.35,61.35,61.35
"CF",1984,79.3,79.3,79.3
"CG",1984,38.6,38.6,38.6
"CI",1984,6.81,6.81,6.81
"CL",1984,9.46,9.46,9.46
"CM",1984,19.12,19.12,19.12
"CN",1984,75.76,75.76,75.76
"CO",1984,9.18,9.18,9.18
"CR",1984,20.52,20.52,20.52
"CV",1984,61.17,61.17,61.17
"CZ",1984,0,0,0
"DJ",1984,2.04,2.04,2.04
"DO",1984,37.49,37.49,37.49
"EC",1984,23.98,23.98,23.98
"EE",1984,0.07,0.07,0.07
"ET",1984,56.57,56.57,56.57
"FJ",1984,11.73,11.73,11.73
"FM",1984,16.61,16.61,16.61
"GA",1984,3.49,3.49,3.49
"GE",1984,1.59,1.59,1.59
"GH",1984,44.44,44.44,44.44
"GM",1984,66.52,66.52,66.52
"GN",1984,92.5,92.5,92.5
"GT",1984,49.43,49.43,49.43
"GW",1984,47.15,47.15,47.15
"GY",1984,40.4,40.4,40.4
"HN",1984,38.57,38.57,38.57
"HR",1984,0.06,0.06,0.06
"HT",1984,59.63,59.63,59.63
"HU",1984,0.06,0.06,0.06
"ID",1984,70.31,70.31,70.31
"IN",1984,46.8,46.8,46.8
"IR",1984,6.36,6.36,6.36
"JM",1984,8.67,8.67,8.67
"KE",1984,24.64,24.64,24.64
"KG",1984,0,0,0
"KH",1984,42.35,42.35,42.35
"KI",1984,15.04,15.04,15.04
"KM",1984,9.29,9.29,9.29
"KZ",1984,0.01,0.01,0.01
"LA",1984,46.33,46.33,46.33
"LC",1984,62.89,62.89,62.89
"LK",1984,14.83,14.83,14.83
"MD",1984,0,0,0
"SB",1984,,,
"PL",1989,0.35,0.35,
