"row_id","from_di_id","to_di_id","year","sector","oof_bundle","channel","value"
1,"afdb","DZ",2006,"infrastructure","oof-loan","public-sector-unknown",1531501
2,"afdb","DZ",2006,"water-and-sanitation","oof-loan","public-sector-unknown",1163792
3,"afdb","country-unspecified",2006,"other","oof-loan","unspecified",83212376
4,"afdb","CM",2006,"other","oof-loan","public-sector-unknown",12115086
5,"afdb","GA",2006,"banking-and-business","oof-loan","public-sector-unknown",1207070
6,"afdb","GA",2006,"education","oof-loan","public-sector-unknown",3141714
7,"afdb","GA",2006,"general-budget-support","oof-loan","public-sector-unknown",31901576
8,"afdb","GA",2006,"health","oof-loan","public-sector-unknown",1377747
9,"afdb","GA",2006,"infrastructure","oof-loan","public-sector-unknown",19594
10,"afdb","MU",2006,"infrastructure","oof-loan","public-sector-unknown",3540035
11,"afdb","MA",2006,"education","oof-loan","public-sector-unknown",9828952
12,"afdb","MA",2006,"infrastructure","oof-loan","public-sector-unknown",212297821
13,"afdb","MA",2006,"other","oof-loan","public-sector-unknown",58383675
14,"afdb","MA",2006,"water-and-sanitation","oof-loan","public-sector-unknown",182344118
15,"afdb","MZ",2006,"industry-and-trade","oof-loan","other",23090722
16,"afdb","NA",2006,"agriculture-and-food-security","oof-loan","public-sector-unknown",7754603
17,"afdb","NA",2006,"infrastructure","oof-loan","public-sector-unknown",21349227
18,"afdb","NG",2006,"other","oof-loan","other",35494657
19,"afdb","NG",2006,"water-and-sanitation","oof-loan","public-sector-unknown",9045570
20,"afdb","ZA",2006,"other","oof-loan","public-sector-unknown",56507060
21,"afdb","south-of-sahara",2006,"banking-and-business","oof-loan","public-sector-unknown",5483836
22,"afdb","south-of-sahara",2006,"other","oof-loan","public-sector-unknown",23029972
23,"afdb","SZ",2006,"agriculture-and-food-security","oof-loan","public-sector-unknown",1892982
24,"afdb","SZ",2006,"infrastructure","oof-loan","public-sector-unknown",19635818
25,"afdb","TN",2006,"agriculture-and-food-security","oof-loan","public-sector-unknown",15788979
26,"afdb","TN",2006,"education","oof-loan","public-sector-unknown",3774251
27,"afdb","TN",2006,"environment","oof-loan","public-sector-unknown",4542684
28,"afdb","TN",2006,"infrastructure","oof-loan","public-sector-unknown",44121992
29,"afdb","TN",2006,"other","oof-loan","public-sector-unknown",82002587
30,"asdb","country-unspecified",2006,"other","oof-loan","unspecified",5119390000
31,"AU","africa",2006,"other","oof-grant","unspecified",3338014
32,"AU","america",2006,"other","oof-grant","unspecified",505101
33,"AU","AR",2006,"other","oof-grant","unspecified",1746121
34,"AU","asia",2006,"other","oof-grant","unspecified",3528258
35,"AU","BD",2006,"other","oof-grant","unspecified",1578759
36,"AU","country-unspecified",2006,"education","oof-grant","unspecified",1245495
37,"AU","country-unspecified",2006,"environment","oof-grant","unspecified",1029145
38,"AU","country-unspecified",2006,"governance-and-security","oof-grant","unspecified",1090335
39,"AU","country-unspecified",2006,"industry-and-trade","oof-grant","unspecified",257655
40,"AU","country-unspecified",2006,"infrastructure","oof-grant","unspecified",6269958
41,"AU","country-unspecified",2006,"other","oof-grant","unspecified",148745885
42,"AU","country-unspecified",2006,"other-social-services","oof-grant","unspecified",4889035
43,"AU","BR",2006,"other","oof-grant","unspecified",3098668
44,"AU","KH",2006,"other","oof-grant","unspecified",3539560
45,"AU","CL",2006,"other","oof-grant","unspecified",2828853
46,"AU","CN",2006,"other","oof-grant","unspecified",26165626
47,"AU","HR",2006,"other","oof-grant","unspecified",240513
48,"AU","EG",2006,"other","oof-grant","unspecified",2438900
49,"AU","europe",2006,"other","oof-grant","unspecified",5863777
50,"AU","FJ",2006,"other","oof-grant","unspecified",3361523
51,"AU","GH",2006,"other","oof-grant","unspecified",1158147
52,"AU","IN",2006,"other","oof-grant","unspecified",20208860
53,"AU","ID",2006,"other","oof-grant","unspecified",17668090
54,"AU","IQ",2006,"other","oof-grant","unspecified",2762528
55,"AU","JO",2006,"other","oof-grant","unspecified",2720279
56,"AU","KE",2006,"other","oof-grant","unspecified",3489116
57,"AU","KI",2006,"other","oof-grant","unspecified",815090
58,"AU","KP",2006,"other","oof-grant","unspecified",2920530
59,"AU","LA",2006,"other","oof-grant","unspecified",3073313
60,"AU","LB",2006,"other","oof-grant","unspecified",3152892
61,"AU","MY",2006,"governance-and-security","oof-grant","unspecified",70786
62,"AU","MY",2006,"infrastructure","oof-grant","unspecified",80198
63,"AU","MY",2006,"other","oof-grant","unspecified",6393252
64,"AU","MY",2006,"other-social-services","oof-grant","unspecified",1216768
65,"AU","MU",2006,"other","oof-grant","unspecified",1136059
66,"AU","MX",2006,"other","oof-grant","unspecified",1946885
