"di_id","year","value"
"AE",2015,3836180000
"afdb",2015,996800000
"all-donors-total",2015,
"arab-fund-afesd",2015,0
"asdb",2015,6306270000
"AT",2015,-1090000
"AU",2015,275480000
"badea",2015,0
"BE",2015,-27720000
"CA",2015,557460000
"cardb",2015,34940000
"ceb",2015,71190000
"CH",2015,0
"cif",2015,0
"CZ",2015,49500000
"dac-countries-total",2015,5199440000
"DE",2015,1516360000
"DK",2015,4230000
"ebrd",2015,2246700000
"ES",2015,5800000
"EU",2015,-1356480000
"FI",2015,2.1e+07
"FR",2015,392990000
"GB",2015,0
"GR",2015,0
"ibrd",2015,11588320000
"idb",2015,3945510000
"ifad",2015,82360000
"ifc",2015,0
"islamic-dev-bank",2015,1035070000
"IT",2015,43040000
"JP",2015,-1055090000
"KR",2015,3114680000
"KW",2015,0
"LU",2015,0
"multilateral-total",2015,
"NL",2015,0
"NO",2015,284100000
"non-dac-countries-total",2015,
"nordic-dev-fund",2015,0
"NZ",2015,15860000
"ofid",2015,254340000
"other-donor-countries",2015,0
"other-multilaterals",2015,0
"PT",2015,-450000
"SA",2015,0
"SE",2015,46030000
"TR",2015,112780000
"US",2015,-42760000
"AE",2014,449580141
"afdb",2014,1563680939
"all-donors-total",2014,
"arab-fund-afesd",2014,0
"asdb",2014,3475092740
"AT",2014,105476993
"AU",2014,120211016
"badea",2014,0
"BE",2014,-37033092
"CA",2014,473435861
"cardb",2014,-1157279
"ceb",2014,98503260
"CH",2014,0
"cif",2014,49269572
"CZ",2014,4273035
"dac-countries-total",2014,3026759368
"DE",2014,264793044
"DK",2014,12540049
"ebrd",2014,1574222044
"ES",2014,3157094
"EU",2014,-1643172673
"FI",2014,9213237
"FR",2014,572360046
"GB",2014,38527357
"GR",2014,0
"ibrd",2014,7025121520
"idb",2014,3267868076
"ifad",2014,58805908
"ifc",2014,0
"islamic-dev-bank",2014,645124583
"IT",2014,80609128
"JP",2014,-804214541
"KR",2014,2077469660
"KW",2014,0
"LU",2014,0
"multilateral-total",2014,
"NL",2014,0
"NO",2014,-35281385
"non-dac-countries-total",2014,
"nordic-dev-fund",2014,0
"NZ",2014,13967192
"ofid",2014,194010155
"other-donor-countries",2014,0
"other-multilaterals",2014,0
"PT",2014,1550810
"SA",2014,0
"SE",2014,-24278431
"TR",2014,62564992
"US",2014,212327140
"AE",2013,6663118
"afdb",2013,958697053
"all-donors-total",2013,
"arab-fund-afesd",2013,0
"asdb",2013,1423872941
"AT",2013,390381634
"AU",2013,359355168
"badea",2013,0
"BE",2013,64517182
"CA",2013,347917301
"cardb",2013,-8959196
"ceb",2013,98488132
"CH",2013,0
"cif",2013,61894992
"CZ",2013,0
"dac-countries-total",2013,5672675076
"DE",2013,-317587029
"DK",2013,6955934
"ebrd",2013,1511826138
"ES",2013,12125685
"EU",2013,-455542003
"FI",2013,-26284655
"FR",2013,569659176
"GB",2013,187516380
"GR",2013,0
"ibrd",2013,7226379830
"idb",2013,1277707477
"ifad",2013,23870181
"ifc",2013,1812945182
"islamic-dev-bank",2013,677243220
"IT",2013,136237549
"JP",2013,1261884779
"KR",2013,1307025010
"KW",2013,0
"LU",2013,0
"multilateral-total",2013,
"NL",2013,0
"NO",2013,159575
"non-dac-countries-total",2013,
"nordic-dev-fund",2013,0
"NZ",2013,9758175
"ofid",2013,205953468
"other-donor-countries",2013,0
"other-multilaterals",2013,0
"PT",2013,2520346
"SA",2013,0
"SE",2013,-18720629
"TR",2013,-10623685
"US",2013,1465773518
"AE",2012,54855039
"afdb",2012,2409458038
"all-donors-total",2012,
"arab-fund-afesd",2012,0
"asdb",2012,3606348646
"AT",2012,43771403
"AU",2012,239146695
"badea",2012,0
"BE",2012,48566468
"CA",2012,143851154
"cardb",2012,-9301039
"ceb",2012,-14472307
"CH",2012,0
"cif",2012,0
"CZ",2012,0
"dac-countries-total",2012,8413464087
"DE",2012,-773254842
"DK",2012,4931585
"ebrd",2012,1601010318
"ES",2012,2157360
"EU",2012,-891474104
"FI",2012,10023816
"FR",2012,-467151729
"GB",2012,36444188
"GR",2012,0
"ibrd",2012,6995911547
"idb",2012,1733525212
"ifad",2012,25177105
"ifc",2012,1975596740
"islamic-dev-bank",2012,741320848
"IT",2012,173720361
"JP",2012,4232162057
"KR",2012,1207872999
"KW",2012,0
"LU",2012,0
"multilateral-total",2012,
"NL",2012,0
"NO",2012,0
"non-dac-countries-total",2012,
"nordic-dev-fund",2012,0
"NZ",2012,10311537
"ofid",2012,88065530
"other-donor-countries",2012,0
"other-multilaterals",2012,0
"PT",2012,1742527
"SA",2012,0
"SE",2012,-40783750
"TR",2012,45933508
"US",2012,2569528752
"AE",2011,21730329
"afdb",2011,1814266012
"all-donors-total",2011,
"arab-fund-afesd",2011,0
"asdb",2011,2792825524
"AT",2011,25726307
"AU",2011,191361017
"badea",2011,0
"BE",2011,-12411137
"CA",2011,267659560
"cardb",2011,32068682
"ceb",2011,215965714
"CH",2011,0
"cif",2011,0
"CZ",2011,0
"dac-countries-total",2011,6732352070
"DE",2011,-351404321
"DK",2011,8891782
"ebrd",2011,2039755850
"ES",2011,3292293
"EU",2011,-662551628
"FI",2011,938600442
"FR",2011,-58397019
"GB",2011,-40367762
"GR",2011,0
"ibrd",2011,1602522423
"idb",2011,2350051111
"ifad",2011,10019804
"ifc",2011,1261795992
"islamic-dev-bank",2011,1393983048
"IT",2011,-177322724
"JP",2011,2203281816
"KR",2011,2291596034
"KW",2011,0
"LU",2011,0
"multilateral-total",2011,
"NL",2011,0
"NO",2011,0
"non-dac-countries-total",2011,
"nordic-dev-fund",2011,0
"NZ",2011,9010950
"ofid",2011,286723938
"other-donor-countries",2011,0
"other-multilaterals",2011,0
"PT",2011,0
"SA",2011,0
"SE",2011,-108695380
"TR",2011,9495961
"US",2011,1321086391
"AE",2010,-1691875
"afdb",2010,1082500167
"all-donors-total",2010,
"arab-fund-afesd",2010,0
"asdb",2010,3036455877
"AT",2010,-140504185
"AU",2010,228447140
"badea",2010,0
"BE",2010,-13477622
"CA",2010,1177375642
"cardb",2010,124269406
"ceb",2010,-85478102
"CH",2010,0
"cif",2010,0
"CZ",2010,0
"dac-countries-total",2010,5216420049
"DE",2010,-371169922
"DK",2010,-30243067
"ebrd",2010,1892314475
"ES",2010,0
"EU",2010,4940147287
"FI",2010,39923897
"FR",2010,-501879325
"GB",2010,-20486481
"GR",2010,0
"ibrd",2010,17120895282
"idb",2010,4246844218
"ifad",2010,10536722
"ifc",2010,1591073253
"islamic-dev-bank",2010,1089841095
"IT",2010,-133295665
"JP",2010,2314502849
