"di_id","year","direction","flow_type","flow_name","value"
"HR",2015,"in","official","oda-capital-repay",0
"HR",2015,"in","official","oda-interest",0
"HR",2015,"in","official","oofs-capital-repay",0
"HR",2015,"in","official","oofs-interest",0
"HR",2015,"out","commercial","fdi-devcountries",0
"HR",2015,"out","official","dfis-out",0
"HR",2015,"out","official","oda-out",51410000
"HR",2015,"out","official","oofs-out",0
"HR",2015,"out","private","pda-out",0
"HR",2015,"out","private","remittances-devcountries",837987555.083798
"HU",2015,"in","official","oda-capital-repay",0
"HU",2015,"in","official","oda-interest",0
"HU",2015,"in","official","oofs-capital-repay",0
"HU",2015,"in","official","oofs-interest",0
"HU",2015,"out","commercial","fdi-devcountries",448175082.559086
"HU",2015,"out","official","dfis-out",0
"HU",2015,"out","official","oda-out",155550000
"HU",2015,"out","official","oofs-out",0
"HU",2015,"out","private","pda-out",0
"HU",2015,"out","private","remittances-devcountries",249878329.382395
"IE",2015,"in","official","oda-capital-repay",10000
"IE",2015,"in","official","oda-interest",0
"IE",2015,"in","official","oofs-capital-repay",0
"IE",2015,"in","official","oofs-interest",0
"IE",2015,"out","commercial","fdi-devcountries",390460343.871326
"IE",2015,"out","official","dfis-out",0
"IE",2015,"out","official","oda-out",718320000
"IE",2015,"out","official","oofs-out",0
"IE",2015,"out","private","pda-out",0
"IE",2015,"out","private","remittances-devcountries",774843587.013886
"IL",2015,"in","official","oda-capital-repay",0
"IL",2015,"in","official","oda-interest",0
"IL",2015,"in","official","oofs-capital-repay",0
"IL",2015,"in","official","oofs-interest",0
"IL",2015,"out","commercial","fdi-devcountries",0
"IL",2015,"out","official","dfis-out",0
"IL",2015,"out","official","oda-out",197930000
"IL",2015,"out","official","oofs-out",0
"IL",2015,"out","private","pda-out",0
"IL",2015,"out","private","remittances-devcountries",1262595325.5662
"IS",2015,"in","official","oda-capital-repay",0
"IS",2015,"in","official","oda-interest",0
"IS",2015,"in","official","oofs-capital-repay",0
"IS",2015,"in","official","oofs-interest",0
"IS",2015,"out","commercial","fdi-devcountries",4937291.5381892
"IS",2015,"out","official","dfis-out",0
"IS",2015,"out","official","oda-out",39860000
"IS",2015,"out","official","oofs-out",0
"IS",2015,"out","private","pda-out",0
"IS",2015,"out","private","remittances-devcountries",28976149.6157547
"IT",2015,"in","official","oda-capital-repay",52740000
"IT",2015,"in","official","oda-interest",8380000
"IT",2015,"in","official","oofs-capital-repay",0
"IT",2015,"in","official","oofs-interest",0
"IT",2015,"out","commercial","fdi-devcountries",10969071547.4209
"IT",2015,"out","official","dfis-out",0
"IT",2015,"out","official","oda-out",4056720000
"IT",2015,"out","official","oofs-out",43040000
"IT",2015,"out","private","pda-out",0
"IT",2015,"out","private","remittances-devcountries",8857720462.90482
"JP",2015,"in","official","oda-capital-repay",5825820000
"JP",2015,"in","official","oda-interest",1366730000
"JP",2015,"in","official","oofs-capital-repay",6139620000
"JP",2015,"in","official","oofs-interest",782680000
"JP",2015,"out","commercial","fdi-devcountries",27989550611.8478
"JP",2015,"out","official","dfis-out",0
"JP",2015,"out","official","oda-out",15028620000
"JP",2015,"out","official","oofs-out",5084510000
"JP",2015,"out","private","pda-out",0
"JP",2015,"out","private","remittances-devcountries",6717693229.1804
"KR",2015,"in","official","oda-capital-repay",80110000
"KR",2015,"in","official","oda-interest",18740000
"KR",2015,"in","official","oofs-capital-repay",11781520000
"KR",2015,"in","official","oofs-interest",593900000
"KR",2015,"out","commercial","fdi-devcountries",3303226635
"KR",2015,"out","official","dfis-out",0
"KR",2015,"out","official","oda-out",1995360000
"KR",2015,"out","official","oofs-out",14896210000
"KR",2015,"out","private","pda-out",0
"KR",2015,"out","private","remittances-devcountries",5498836849.84471
"KW",2015,"in","official","oda-capital-repay",327450000
"KW",2015,"in","official","oda-interest",128870000
"KW",2015,"in","official","oofs-capital-repay",0
"KW",2015,"in","official","oofs-interest",0
"KW",2015,"out","commercial","fdi-devcountries",0
"KW",2015,"out","official","dfis-out",0
"KW",2015,"out","official","oda-out",631910000
"KW",2015,"out","official","oofs-out",0
"KW",2015,"out","private","pda-out",0
"KW",2015,"out","private","remittances-devcountries",11604209084.4336
"LI",2015,"in","official","oda-capital-repay",0
"LI",2015,"in","official","oda-interest",0
"LI",2015,"in","official","oofs-capital-repay",0
"LI",2015,"in","official","oofs-interest",0
"LI",2015,"out","commercial","fdi-devcountries",0
"LI",2015,"out","official","dfis-out",0
"LI",2015,"out","official","oda-out",24220000
"LI",2015,"out","official","oofs-out",0
"LI",2015,"out","private","pda-out",0
"LI",2015,"out","private","remittances-devcountries",2522453.90106366
"LT",2015,"in","official","oda-capital-repay",0
"LT",2015,"in","official","oda-interest",0
"LT",2015,"in","official","oofs-capital-repay",0
"LT",2015,"in","official","oofs-interest",0
"LT",2015,"out","commercial","fdi-devcountries",0
"LT",2015,"out","official","dfis-out",0
"LT",2015,"out","official","oda-out",48110000
"LT",2015,"out","official","oofs-out",0
"LT",2015,"out","private","pda-out",0
"LT",2015,"out","private","remittances-devcountries",63089968.9541019
"LU",2015,"in","official","oda-capital-repay",0
"LU",2015,"in","official","oda-interest",0
"LU",2015,"in","official","oofs-capital-repay",0
"LU",2015,"in","official","oofs-interest",0
"LU",2015,"out","commercial","fdi-devcountries",0
"LU",2015,"out","official","dfis-out",0
"LU",2015,"out","official","oda-out",362880000
"LU",2015,"out","official","oofs-out",0
"LU",2015,"out","private","pda-out",0
"LU",2015,"out","private","remittances-devcountries",54407789.2674705
"LV",2015,"in","official","oda-capital-repay",0
"LV",2015,"in","official","oda-interest",0
"LV",2015,"in","official","oofs-capital-repay",0
"LV",2015,"in","official","oofs-interest",0
"LV",2015,"out","commercial","fdi-devcountries",2218524.6810871
"LV",2015,"out","official","dfis-out",0
"LV",2015,"out","official","oda-out",23170000
"LV",2015,"out","official","oofs-out",0
"LV",2015,"out","private","pda-out",0
"LV",2015,"out","private","remittances-devcountries",87842777.313301
"MT",2015,"in","official","oda-capital-repay",0
"MT",2015,"in","official","oda-interest",0
"MT",2015,"in","official","oofs-capital-repay",0
"MT",2015,"in","official","oofs-interest",0
"MT",2015,"out","commercial","fdi-devcountries",0
"MT",2015,"out","official","dfis-out",0
"MT",2015,"out","official","oda-out",16560000
"MT",2015,"out","official","oofs-out",0
"MT",2015,"out","private","pda-out",0
"MT",2015,"out","private","remittances-devcountries",17213522.5028562
"NL",2015,"in","official","oda-capital-repay",93140000
"NL",2015,"in","official","oda-interest",0
"NL",2015,"in","official","oofs-capital-repay",0
"NL",2015,"in","official","oofs-interest",0
"NL",2015,"out","commercial","fdi-devcountries",76861896838.6017
"NL",2015,"out","official","dfis-out",0
"NL",2015,"out","official","oda-out",5818660000
"NL",2015,"out","official","oofs-out",0
"NL",2015,"out","private","pda-out",0
"NL",2015,"out","private","remittances-devcountries",2410470035.20746
"NO",2015,"in","official","oda-capital-repay",26810000
"NO",2015,"in","official","oda-interest",0
"NO",2015,"in","official","oofs-capital-repay",519290000
"NO",2015,"in","official","oofs-interest",10030000
"NO",2015,"out","commercial","fdi-devcountries",0
"NO",2015,"out","official","dfis-out",0
"NO",2015,"out","official","oda-out",4304470000
"NO",2015,"out","official","oofs-out",803390000
"NO",2015,"out","private","pda-out",0
"NO",2015,"out","private","remittances-devcountries",806557838.44293
"NZ",2015,"in","official","oda-capital-repay",0
"NZ",2015,"in","official","oda-interest",0
"NZ",2015,"in","official","oofs-capital-repay",0
"NZ",2015,"in","official","oofs-interest",0
"NZ",2015,"out","commercial","fdi-devcountries",22504044.0663787
"NZ",2015,"out","official","dfis-out",0
"NZ",2015,"out","official","oda-out",441740000
"NZ",2015,"out","official","oofs-out",15860000
"NZ",2015,"out","private","pda-out",0
"NZ",2015,"out","private","remittances-devcountries",1543386568.26537
"PL",2015,"in","official","oda-capital-repay",24700000
"PL",2015,"in","official","oda-interest",0
"PL",2015,"in","official","oofs-capital-repay",0
"PL",2015,"in","official","oofs-interest",0
"PL",2015,"out","commercial","fdi-devcountries",201899103.495836
"PL",2015,"out","official","dfis-out",0
"PL",2015,"out","official","oda-out",465590000
"PL",2015,"out","official","oofs-out",0
"PL",2015,"out","private","pda-out",0
"PL",2015,"out","private","remittances-devcountries",329533843.661954
"PT",2015,"in","official","oda-capital-repay",31310000
"PT",2015,"in","official","oda-interest",28020000
"PT",2015,"in","official","oofs-capital-repay",1840000
"PT",2015,"in","official","oofs-interest",230000
"PT",2015,"out","commercial","fdi-devcountries",44370493.621742
"PT",2015,"out","official","dfis-out",0
"PT",2015,"out","official","oda-out",353650000
"PT",2015,"out","official","oofs-out",1390000
"PT",2015,"out","private","pda-out",0
"PT",2015,"out","private","remittances-devcountries",623370810.504003
"QA",2015,"in","official","oda-capital-repay",0
"QA",2015,"in","official","oda-interest",0
"QA",2015,"in","official","oofs-capital-repay",0
"QA",2015,"in","official","oofs-interest",0
"QA",2015,"out","commercial","fdi-devcountries",0
"QA",2015,"out","official","dfis-out",0
"QA",2015,"out","official","oda-out",0
"QA",2015,"out","official","oofs-out",0
"QA",2015,"out","private","pda-out",0
"QA",2015,"out","private","remittances-devcountries",10675129706.6001
"RO",2015,"in","official","oda-capital-repay",0
"RO",2015,"in","official","oda-interest",0
"RO",2015,"in","official","oofs-capital-repay",0
"RO",2015,"in","official","oofs-interest",0
"RO",2015,"out","commercial","fdi-devcountries",0
"RO",2015,"out","official","dfis-out",0
"RO",2015,"out","official","oda-out",158090000
"RO",2015,"out","official","oofs-out",0
"RO",2015,"out","private","pda-out",0
"RO",2015,"out","private","remittances-devcountries",150751645.171454
"RU",2015,"in","official","oda-capital-repay",0
"RU",2015,"in","official","oda-interest",0
"RU",2015,"in","official","oofs-capital-repay",0
"RU",2015,"in","official","oofs-interest",0
"RU",2015,"out","commercial","fdi-devcountries",0
"RU",2015,"out","official","dfis-out",0
"RU",2015,"out","official","oda-out",1161400000
"RU",2015,"out","official","oofs-out",0
"RU",2015,"out","private","pda-out",0
"RU",2015,"out","private","remittances-devcountries",13163072551.4504
"SA",2015,"in","official","oda-capital-repay",220650000
"SA",2015,"in","official","oda-interest",0
"SA",2015,"in","official","oofs-capital-repay",0
"SA",2015,"in","official","oofs-interest",0
"SA",2015,"out","commercial","fdi-devcountries",0
"SA",2015,"out","official","dfis-out",0
"SA",2015,"out","official","oda-out",6978870000
"SA",2015,"out","official","oofs-out",0
"SA",2015,"out","private","pda-out",0
"SA",2015,"out","private","remittances-devcountries",46837669885.7167
"SE",2015,"in","official","oda-capital-repay",80440000
"SE",2015,"in","official","oda-interest",0
"SE",2015,"in","official","oofs-capital-repay",0
"SE",2015,"in","official","oofs-interest",8120000
"SE",2015,"out","commercial","fdi-devcountries",5745554197.85751
"SE",2015,"out","official","dfis-out",0
"SE",2015,"out","official","oda-out",7170130000
"SE",2015,"out","official","oofs-out",46030000
"SE",2015,"out","private","pda-out",0
"SE",2015,"out","private","remittances-devcountries",1585710811.98711
"SI",2015,"in","official","oda-capital-repay",0
"SI",2015,"in","official","oda-interest",0
"SI",2015,"in","official","oofs-capital-repay",0
"SI",2015,"in","official","oofs-interest",0
"SI",2015,"out","commercial","fdi-devcountries",143767054.908485
"SI",2015,"out","official","dfis-out",0
"SI",2015,"out","official","oda-out",63290000
"SI",2015,"out","official","oofs-out",0
"SI",2015,"out","private","pda-out",0
"SI",2015,"out","private","remittances-devcountries",331481772.427015
"SK",2015,"in","official","oda-capital-repay",40000
"SK",2015,"in","official","oda-interest",0
"SK",2015,"in","official","oofs-capital-repay",0
"SK",2015,"in","official","oofs-interest",0
"SK",2015,"out","commercial","fdi-devcountries",0
"SK",2015,"out","official","dfis-out",0
"SK",2015,"out","official","oda-out",84950000
"SK",2015,"out","official","oofs-out",0
"SK",2015,"out","private","pda-out",0
"SK",2015,"out","private","remittances-devcountries",32292157.0527242
"TW",2015,"in","official","oda-capital-repay",24560000
"TW",2015,"in","official","oda-interest",0
"TW",2015,"in","official","oofs-capital-repay",0
"TW",2015,"in","official","oofs-interest",0
"TW",2015,"out","commercial","fdi-devcountries",0
"TW",2015,"out","official","dfis-out",0
"TW",2015,"out","official","oda-out",279320000
"TW",2015,"out","official","oofs-out",0
"TW",2015,"out","private","pda-out",0
"TW",2015,"out","private","remittances-devcountries",0
"US",2015,"in","official","oda-capital-repay",748220000
"US",2015,"in","official","oda-interest",0
"US",2015,"in","official","oofs-capital-repay",1302750000
"US",2015,"in","official","oofs-interest",0
"US",2015,"out","commercial","fdi-devcountries",3.112e+10
"US",2015,"out","official","dfis-out",0
"US",2015,"out","official","oda-out",31735730000
"US",2015,"out","official","oofs-out",1259990000
"US",2015,"out","private","pda-out",0
"US",2015,"out","private","remittances-devcountries",114079534990.365
"AE",2014,"in","official","oda-capital-repay",101373979.18
"AE",2014,"in","official","oda-interest",0
"AE",2014,"in","official","oofs-capital-repay",672836.145
"AE",2014,"in","official","oofs-interest",0
"AE",2014,"out","commercial","fdi-devcountries",0
"AE",2014,"out","official","dfis-out",0
"AE",2014,"out","official","oda-out",4659049400.4782
"AE",2014,"out","official","oofs-out",450252977.0854
"AE",2014,"out","private","pda-out",0
"AE",2014,"out","private","remittances-devcountries",26314711815.332
"AT",2014,"in","official","oda-capital-repay",3984422.65
