"di_id","year","value"
"AL",2013,3.19
"AM",2013,8.84
"AO",2013,41.48
"AZ",2013,0.85
"BA",2013,0.27
"BD",2013,31.67
"BF",2013,65.34
"BG",2013,3.03
"BI",2013,86.64
"BJ",2013,65.88
"BO",2013,10.62
"BR",2013,6.87
"BT",2013,4.82
"BW",2013,21.66
"BZ",2013,18.42
"CD",2013,85.5
"CF",2013,87.59
"CG",2013,50.11
"CI",2013,41.73
"CL",2013,1.42
"CM",2013,38.52
"CN",2013,6.17
"CO",2013,10.09
"CR",2013,2.91
"CV",2013,14.98
"CZ",2013,0.15
"DJ",2013,33.04
"DO",2013,5.66
"EC",2013,7.68
"EE",2013,1.26
"EG",2013,5.74
"ET",2013,42.86
"FJ",2013,10.23
"FM",2013,29.08
"GA",2013,14.41
"GE",2013,20.81
"GH",2013,22.01
"GM",2013,59.22
"GN",2013,56.1
"GT",2013,18.21
"GW",2013,78.57
"GY",2013,12.3
"HN",2013,28.29
"HR",2013,1.34
"HT",2013,63.28
"HU",2013,0.34
"ID",2013,27
"IN",2013,38.3
"IR",2013,0.26
"JM",2013,4.9
"KE",2013,39.84
"KG",2013,12.42
"KH",2013,8.33
"KI",2013,24.02
"KM",2013,24.71
"KZ",2013,0.09
"LA",2013,31.99
"LC",2013,43.58
"LK",2013,7.1
"LR",2013,72.8
"LS",2013,68.07
"LT",2013,1.13
"LV",2013,1.77
"MA",2013,4.49
"MD",2013,0.47
"ME",2013,1.93
"MG",2013,86.61
"MK",2013,4.72
"ML",2013,69.91
"MN",2013,1.3
"MR",2013,15.75
"MU",2013,1.5
"MV",2013,12.25
"MW",2013,81.93
"MX",2013,6.38
"MY",2013,0.38
"MZ",2013,74.77
"NA",2013,32.03
"NE",2013,66.89
"NG",2013,65.36
"NI",2013,12.76
"NP",2013,24.94
"PA",2013,5.67
"PE",2013,6.88
"PG",2013,46.03
"PH",2013,25.35
"PK",2013,24.39
"PL",2013,0.04
"PY",2013,4.33
"RO",2013,2.09
"RS",2013,0.75
"RW",2013,74.07
"SB",2013,48.74
"SC",2013,1.52
"SD",2013,19.52
"SI",2013,0.03
"SK",2013,0.31
"SL",2013,53.25
"SN",2013,54.13
"SR",2013,21.13
"SS",2013,81.8
"ST",2013,49.96
"SV",2013,7.16
"SZ",2013,54.67
"TD",2013,49.39
"TG",2013,64.93
"TH",2013,0.26
"TJ",2013,44.85
"TL",2013,46.76
"TM",2013,7.6
"TN",2013,2.84
"TO",2013,4
"TR",2013,1.36
"TT",2013,0.56
"TV",2013,6.4
"TZ",2013,64.02
"UA",2013,0.04
"UG",2013,53.59
"UY",2013,0.82
"UZ",2013,44.23
"VE",2013,9.8
"VN",2013,7.77
"VU",2013,27.16
"WS",2013,4.73
"XK",2013,1.89
"ZA",2013,26.62
"ZM",2013,71.09
"ZW",2013,30.47
"AT",2013,
"AU",2013,
"BE",2013,
"BY",2013,
"CA",2013,
"CH",2013,
"CY",2013,
"DE",2013,
"DK",2013,
"ES",2013,
"FI",2013,
"FR",2013,
"GB",2013,
"GL",2013,
"GR",2013,
"IE",2013,
"IL",2013,
"IS",2013,
"IT",2013,
"JO",2013,
"JP",2013,
"LU",2013,
"NL",2013,
"NO",2013,
"PS",2013,
"PT",2013,
"RU",2013,
"SE",2013,
"SG",2013,
"US",2013,
