"di_id","year","value"
"AD",2015,
"AE",2015,84.92
"AF",2015,53.49
"AG",2015,68.66
"AL",2015,69.06
"AM",2015,70.79
"AO",2015,50.04
"AR",2015,63.88
"AS",2015,
"AT",2015,67.03
"AU",2015,66.26
"AW",2015,69.47
"AZ",2015,72.46
"BA",2015,71.06
"BB",2015,66.47
"BD",2015,65.58
"BE",2015,64.83
"BF",2015,52.03
"BG",2015,65.83
"BH",2015,76.11
"BI",2015,52.73
"BJ",2015,54.95
"BM",2015,
"BN",2015,72.47
"BO",2015,61.09
"BR",2015,69.13
"BS",2015,70.8
"BT",2015,68.07
"BW",2015,64.4
"BY",2015,69.95
"BZ",2015,63.78
"CA",2015,67.89
"CD",2015,51.04
"CF",2015,57.09
"CG",2015,53.71
"CH",2015,67.18
"CI",2015,54.5
"CL",2015,68.85
"CM",2015,54.27
"CN",2015,73.22
"CO",2015,68.67
"CR",2015,68.79
"CU",2015,69.72
"CV",2015,65.77
"CW",2015,66.18
"CY",2015,70.6
"CZ",2015,66.88
"DE",2015,65.87
"DJ",2015,63.08
"DK",2015,64.16
"DM",2015,
"DO",2015,63.39
"DZ",2015,65.52
"EC",2015,64.28
"EE",2015,65.15
"EG",2015,61.62
"ER",2015,
"ES",2015,66.33
"ET",2015,55.08
"EU",2015,65.3
"FI",2015,63.18
"FJ",2015,65.42
"FM",2015,61.57
"FO",2015,
"FR",2015,62.4
"GA",2015,57.77
"GB",2015,64.47
"GD",2015,66.36
"GE",2015,68.65
"GH",2015,57.79
"GI",2015,
"GL",2015,
"GM",2015,51.5
"GN",2015,54.4
"GQ",2015,57.85
"GR",2015,64
"GT",2015,58.53
"GU",2015,65.8
"GW",2015,56.04
"GY",2015,66.19
"HK",2015,72.98
"HN",2015,63.38
"HR",2015,66.17
"HT",2015,61.63
"HU",2015,67.62
"ID",2015,67.13
"IE",2015,65.08
"IL",2015,60.93
"IM",2015,
"IN",2015,65.6
"IQ",2015,55.96
"IR",2015,71.33
"IS",2015,65.97
"IT",2015,63.88
"JM",2015,67.28
"JO",2015,60.69
"JP",2015,60.8
"KE",2015,55.29
"KG",2015,64.37
"KH",2015,64.28
"KI",2015,61.35
"KM",2015,56.93
"KN",2015,
"KP",2015,69.29
"KR",2015,72.88
"KW",2015,75.71
"KY",2015,
"KZ",2015,66.55
"LA",2015,61.42
"LB",2015,67.87
"LC",2015,67.88
"LI",2015,
"LK",2015,66.12
"LR",2015,54.68
"LS",2015,59.79
"LT",2015,66.64
"LU",2015,69.58
"LV",2015,65.71
"LY",2015,65.63
"MA",2015,66.61
"MC",2015,
"MD",2015,74.31
"ME",2015,67.7
"MF",2015,
"MG",2015,55.45
"MH",2015,
"MK",2015,70.72
"ML",2015,49.95
"MM",2015,67.09
"MN",2015,67.73
"MO",2015,78
"MP",2015,
"MR",2015,56.77
"MT",2015,66.32
"MU",2015,71.11
"MV",2015,67.82
"MW",2015,51.4
"MX",2015,65.93
"MY",2015,69.09
"MZ",2015,51.35
"NA",2015,59.78
"NC",2015,67.6
"NE",2015,46.95
"NG",2015,53.27
"NI",2015,64.88
"NL",2015,65.25
"NO",2015,65.7
"NP",2015,61.79
"NR",2015,
"NZ",2015,64.93
"OM",2015,76.9
"PA",2015,65.2
"PE",2015,65.28
"PF",2015,70.31
"PG",2015,59.85
"PH",2015,63.47
"PK",2015,60.5
"PL",2015,69.52
"PR",2015,66.66
"PS",2015,56.82
"PT",2015,65.16
"PW",2015,
"PY",2015,63.85
"QA",2015,83.3
"RO",2015,67.17
"RS",2015,66.62
"RU",2015,69.88
"RW",2015,56.16
"SA",2015,68.56
"SB",2015,57.12
"SC",2015,69.68
"SD",2015,56.17
"SE",2015,62.77
"SG",2015,72.78
"SI",2015,67.25
"SK",2015,71.03
"SL",2015,54.97
"SM",2015,
"SN",2015,53.3
"SO",2015,50.47
"SR",2015,66.33
"SS",2015,54.45
"ST",2015,54.29
"SV",2015,64.8
"SX",2015,
"SY",2015,58.81
"SZ",2015,59.06
"TC",2015,
"TD",2015,49.83
"TG",2015,55
"TH",2015,71.82
