"di_id","colour","detail","source_title","source_link"
"DZ","green","2008","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"AO","green","2014","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"BJ","green","2013","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"BW","green","2011","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"BF","green","2006","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"BI","green","2008","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CM","orange","2005","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CV","green","2010","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CF","orange","2003","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"TD","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"KM","orange","2003","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CG","green","2007","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CI","green","2014","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"CD","red","1981","News report","http://aceproject.org/today/feature-articles/post-transitional-elections-in-the-democratic-republic-of-congo"
"DJ","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"EG","green","2006","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GQ","orange","2002","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"ER","red","None","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"ET","green","2007","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GA","green","2013","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GM","green","2013","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GH","green","2010","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GN","green","2014","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"GW","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"KE","green","2009","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
"LS","green","2006","UN 2010 World Population and Housing Census Programme","http://unstats.un.org/unsd/demographic/sources/census/censusdates.htm"
