"di_id","year","value"
"AD",2015,
"AE",2015,1.14
"AF",2015,2.47
"AG",2015,7.16
"AL",2015,12.4
"AM",2015,10.83
"AO",2015,2.31
"AR",2015,10.93
"AS",2015,
"AT",2015,18.76
"AU",2015,15.04
"AW",2015,12.2
"AZ",2015,5.63
"BA",2015,15.44
"BB",2015,14.16
"BD",2015,4.97
"BE",2015,18.22
"BF",2015,2.39
"BG",2015,20.03
"BH",2015,2.41
"BI",2015,2.47
"BJ",2015,2.89
"BM",2015,
"BN",2015,4.42
"BO",2015,6.47
"BR",2015,7.84
"BS",2015,8.28
"BT",2015,5.06
"BW",2015,3.6
"BY",2015,13.98
"BZ",2015,3.76
"CA",2015,16.14
"CD",2015,2.96
"CF",2015,3.86
"CG",2015,3.66
"CH",2015,18.04
"CI",2015,3.03
"CL",2015,11
"CM",2015,3.21
"CN",2015,9.55
"CO",2015,7.04
"CR",2015,8.9
"CU",2015,13.97
"CV",2015,4.58
"CW",2015,14.84
"CY",2015,12.85
"CZ",2015,18.08
"DE",2015,21.24
"DJ",2015,4.19
"DK",2015,18.96
"DM",2015,
"DO",2015,6.65
"DZ",2015,5.94
"EC",2015,6.7
"EE",2015,18.76
"EG",2015,5.22
"ER",2015,
"ES",2015,18.79
"ET",2015,3.48
"EU",2015,19.19
"FI",2015,20.48
"FJ",2015,5.83
"FM",2015,4.36
"FO",2015,
"FR",2015,19.12
"GA",2015,5.1
"GB",2015,17.76
"GD",2015,7.16
"GE",2015,14.03
"GH",2015,3.39
"GI",2015,
"GL",2015,
"GM",2015,2.31
"GN",2015,3.06
"GQ",2015,2.89
"GR",2015,21.4
"GT",2015,4.85
"GU",2015,8.73
"GW",2015,3.17
"GY",2015,5.01
"HK",2015,15.06
"HN",2015,4.85
"HR",2015,18.94
"HT",2015,4.63
"HU",2015,17.82
"ID",2015,5.17
"IE",2015,13.14
"IL",2015,11.24
"IM",2015,
"IN",2015,5.62
"IQ",2015,3.06
"IR",2015,5.06
"IS",2015,13.71
"IT",2015,22.41
"JM",2015,9.14
"JO",2015,3.79
"JP",2015,26.34
"KE",2015,2.8
"KG",2015,4.23
"KH",2015,4.12
"KI",2015,3.7
"KM",2015,2.79
"KN",2015,
"KP",2015,9.54
"KR",2015,13.13
"KW",2015,1.97
"KY",2015,
"KZ",2015,6.74
"LA",2015,3.81
"LB",2015,8.14
"LC",2015,9
"LI",2015,
"LK",2015,9.3
"LR",2015,3.01
"LS",2015,4.14
"LT",2015,18.85
"LU",2015,13.98
"LV",2015,19.37
"LY",2015,4.54
"MA",2015,6.17
"MC",2015,
"MD",2015,9.96
"ME",2015,13.65
"MF",2015,
"MG",2015,2.84
"MH",2015,
"MK",2015,12.32
"ML",2015,2.52
"MM",2015,5.36
"MN",2015,4.04
"MO",2015,8.99
"MP",2015,
"MR",2015,3.21
"MT",2015,19.25
"MU",2015,9.56
"MV",2015,4.7
"MW",2015,3.44
"MX",2015,6.47
"MY",2015,5.89
"MZ",2015,3.35
"NA",2015,3.53
"NC",2015,10.17
"NE",2015,2.58
"NG",2015,2.74
"NI",2015,5.09
"NL",2015,18.23
"NO",2015,16.33
"NP",2015,5.55
"NR",2015,
"NZ",2015,14.86
"OM",2015,2.58
"PA",2015,7.63
"PE",2015,6.83
"PF",2015,7.55
"PG",2015,3.01
"PH",2015,4.58
"PK",2015,4.49
"PL",2015,15.53
"PR",2015,14.47
"PS",2015,2.96
"PT",2015,20.79
"PW",2015,
"PY",2015,6.02
"QA",2015,1.18
"RO",2015,17.31
"RS",2015,17.08
"RU",2015,13.37
"RW",2015,2.79
"SA",2015,2.86
"SB",2015,3.4
"SC",2015,6.88
"SD",2015,3.33
"SE",2015,19.94
"SG",2015,11.68
"SI",2015,17.97
"SK",2015,13.85
"SL",2015,2.67
"SM",2015,
"SN",2015,2.93
"SO",2015,2.82
"SR",2015,6.89
"SS",2015,3.46
"ST",2015,3.09
"SV",2015,8.17
"SX",2015,
"SY",2015,4.06
"SZ",2015,3.58
"TC",2015,
"TD",2015,2.45
"TG",2015,2.76
"TH",2015,10.47
"TJ",2015,3.01
"TL",2015,5.58
"TM",2015,4.16
"TN",2015,7.59
"TO",2015,5.87
"TR",2015,7.54
"TT",2015,9.41
"TV",2015,
"TZ",2015,3.2
"UA",2015,15.31
"UG",2015,2.49
"US",2015,14.79
"UY",2015,14.43
"UZ",2015,4.66
"VC",2015,7.33
"VE",2015,6.27
"VG",2015,
"VI",2015,17.6
"VN",2015,6.74
"VU",2015,4.2
"WS",2015,5.23
"XK",2015,6.78
"YE",2015,2.79
"ZA",2015,5.03
"ZM",2015,2.91
"ZW",2015,2.96
"AD",2014,
"AE",2014,1.04
"AF",2014,2.43
"AG",2014,7.12
"AL",2014,12.06
"AM",2014,10.58
"AO",2014,2.31
"AR",2014,10.81
"AS",2014,
"AT",2014,18.6
"AU",2014,14.72
"AW",2014,11.75
"AZ",2014,5.56
"BA",2014,14.97
"BB",2014,13.76
"BD",2014,4.96
"BE",2014,18
"BF",2014,2.41
"BG",2014,19.73
"BH",2014,2.37
"BI",2014,2.47
"BJ",2014,2.89
"BM",2014,
"BN",2014,4.17
"BO",2014,6.34
"BR",2014,7.58
"BS",2014,7.98
"BT",2014,4.96
"BW",2014,3.53
"BY",2014,13.98
"BZ",2014,3.75
"CA",2014,15.69
"CD",2014,2.96
"CF",2014,3.87
"CG",2014,3.65
"CH",2014,17.84
"CI",2014,3.03
"CL",2014,10.7
"CM",2014,3.22
"CN",2014,9.18
"CO",2014,6.76
"CR",2014,8.6
"CU",2014,13.61
"CV",2014,4.73
"CW",2014,14.46
"CY",2014,12.56
"CZ",2014,17.54
"DE",2014,21.07
"DJ",2014,4.11
"DK",2014,18.5
"DM",2014,
"DO",2014,6.51
"DZ",2014,5.8
"EC",2014,6.54
"EE",2014,18.53
"EG",2014,5.17
"ER",2014,
"ES",2014,18.44
"ET",2014,3.45
"EU",2014,18.84
"FI",2014,19.81
"FJ",2014,5.64
"FM",2014,4.2
"FO",2014,
"FR",2014,18.67
"GA",2014,5.16
"GB",2014,17.5
"GD",2014,7.15
"GE",2014,14.12
"GH",2014,3.43
"GI",2014,
"GL",2014,
"GM",2014,2.34
"GN",2014,3.06
"GQ",2014,2.86
"GR",2014,20.87
"GT",2014,4.76
"GU",2014,8.41
"GW",2014,3.15
"GY",2014,4.86
"HK",2014,14.53
"HN",2014,4.74
"HR",2014,18.6
"HT",2014,4.58
"HU",2014,17.53
"ID",2014,5.11
"IE",2014,12.7
"IL",2014,11.03
"IM",2014,
"IN",2014,5.49
"IQ",2014,3.06
"IR",2014,4.97
"IS",2014,13.33
"IT",2014,22.01
"JM",2014,8.96
"JO",2014,3.77
"JP",2014,25.71
"KE",2014,2.76
"KG",2014,4.23
"KH",2014,4.01
"KI",2014,3.65
"KM",2014,2.79
"KN",2014,
"KP",2014,9.55
"KR",2014,12.68
"KW",2014,1.95
