"di_id","year","value"
"AF",2000,
"ME",2003,
"MS",2003,
"UG",2007,58.28
"AG",2009,4.09
"NU",2012,
"AL",2000,29.2
"DZ",2000,10.09
"AO",2000,14.1
"AG",2000,11.1
"AR",2000,0.49
"AM",2000,49.84
"AZ",2000,19
"BD",2000,37.92
"BY",2000,
"BZ",2000,9.22
"BJ",2000,63.52
"BT",2000,
"BO",2000,28.67
"BA",2000,27.81
"BW",2000,25.21
"BR",2000,0.5
"BF",2000,78.69
"BI",2000,
"KH",2000,60.01
"CM",2000,58.91
"CV",2000,43.46
"CF",2000,96.2
"TD",2000,
"CL",2000,1.6
"CN",2000,3.49
"CO",2000,3.48
"KM",2000,
"CD",2000,59.62
"CG",2000,22.2
"CK",2000,
"CR",2000,5.01
"CI",2000,54.24
"CU",2000,
"DJ",2000,59.7
"DM",2000,18.43
"DO",2000,4.02
"EC",2000,8.49
"EG",2000,25.34
"SV",2000,7.07
"GQ",2000,
"ER",2000,80.65
"ET",2000,79.1
"FJ",2000,34.03
"GA",2000,58.03
"GM",2000,
"GE",2000,26.54
"GH",2000,70.45
"GD",2000,11.73
"GT",2000,22.74
"GN",2000,85.98
"GW",2000,88.51
"GY",2000,60.91
"HT",2000,27.63
"HN",2000,31.82
"IN",2000,8.02
"ID",2000,21.86
"IR",2000,5.69
"IQ",2000,
"JM",2000,4.5
"JO",2000,8.59
"KZ",2000,3.57
"KE",2000,72.27
"KI",2000,
"KP",2000,86.07
"XK",2000,
"KG",2000,67.62
"LA",2000,89.09
"LB",2000,5.79
"LS",2000,7.08
"LR",2000,74.34
"LY",2000,
"MK",2000,37.79
"MG",2000,78.11
"MW",2000,90.85
"MY",2000,1.69
"MV",2000,40.4
"ML",2000,71.86
"MH",2000,
"MR",2000,78.95
"MU",2000,7.15
"MX",2000,0.25
"FM",2000,
"MD",2000,11.97
"MN",2000,77.31
"ME",2000,
"MS",2000,
"MA",2000,14.49
"MZ",2000,75.51
"MM",2000,30.23
"NA",2000,40
"NR",2000,
"NP",2000,76.43
"NI",2000,38.84
"NE",2000,88.06
"NG",2000,4.77
"NU",2000,
"PK",2000,28.95
"PW",2000,
"PA",2000,3.46
"PG",2000,43.6
"PY",2000,19.66
"PE",2000,10.63
"PH",2000,6.49
"RW",2000,95.19
"WS",2000,98.74
"ST",2000,82.59
"SN",2000,61.69
"RS",2000,
"SC",2000,46.16
"SL",2000,80.5
"SB",2000,79.14
"SO",2000,
"ZA",2000,5.16
"SS",2000,
"LK",2000,23.22
"SH",2000,
"LC",2000,12.04
"VC",2000,13.16
"SD",2000,11.88
"SR",2000,93.56
"SZ",2000,12.58
"SY",2000,24.3
"TJ",2000,82.31
"TZ",2000,74.97
"TH",2000,10.69
"TL",2000,
"TG",2000,52.21
"TK",2000,
"TO",2000,64.31
"TN",2000,11.89
"TR",2000,1.95
"TM",2000,4.89
"TV",2000,
"UG",2000,67.17
"UA",2000,
"UY",2000,4.28
"UZ",2000,18.42
"VU",2000,38.2
"VE",2000,1.06
"VN",2000,37.17
"WF",2000,
"PS",2000,37.7
"YE",2000,17.45
"ZM",2000,82.31
"ZW",2000,55.69
"AF",2001,
"AL",2001,22.9
"DZ",2001,7.73
"AO",2001,8.29
"AG",2001,6.24
"AR",2001,3.41
"AM",2001,53.97
"AZ",2001,36.97
"BD",2001,35.03
"BY",2001,
"BZ",2001,12.8
"BJ",2001,68.98
"BT",2001,
"BO",2001,42.53
"BA",2001,26.92
"BW",2001,38.91
"BR",2001,0.68
