"di_id","year","value"
"AT",2015,0.06
"BE",2015,0.13
"DK",2015,0.2
"FR",2015,0.1
"DE",2015,0.08
"IT",2015,0.05
"NL",2015,0.14
"NO",2015,0.27
"PT",2015,0.05
"SE",2015,0.29
"CH",2015,0.14
"GB",2015,0.23
"FI",2015,0.18
"IS",2015,0.1
"IE",2015,0.15
"LU",2015,0.4
"CY",2015,0.02
"GR",2015,0.02
"MT",2015,0.02
"ES",2015,0.03
"TR",2015,0.06
"SI",2015,0.02
"HR",2015,0.01
"CZ",2015,0.02
"SK",2015,0.02
"BG",2015,0.02
"HU",2015,0.02
"PL",2015,0.03
"RO",2015,0.02
"EE",2015,0.03
"LV",2015,0.02
"LT",2015,0.03
"RU",2015,0.01
"nordic-dev-fund",2015,
"CA",2015,0.1
"US",2015,0.06
"IL",2015,0
"KW",2015,
"AE",2015,0.32
"KZ",2015,0.01
"JP",2015,0.08
"KR",2015,0.05
"TH",2015,0.01
"TL",2015,
"AU",2015,0.08
"gef",2015,
"NZ",2015,0.08
"ida",2015,
"cardb",2015,
"idb-special-fund",2015,
"afdb",2015,
"afdf",2015,
"asdb-special-funds",2015,
"EU",2015,
"arab-fund-afesd",2015,
"unpbf",2015,
"who",2015,
"international-labour-organisation",2015,
"iaea",2015,
"ofid",2015,
"badea",2015,
"imf-concessional-trust-funds",2015,
"undp",2015,
"unicef",2015,
"wfp",2015,
"unhcr",2015,
"unaids",2015,
"unfpa",2015,
"islamic-dev-bank",2015,
"ifad",2015,
"cif",2015,
"gavi",2015,
"global-fund",2015,
"gggi",2015,
"bmgf",2015,
"AT",2014,0.08
"BE",2014,0.16
"DK",2014,0.26
"FR",2014,0.09
"DE",2014,0.1
"IT",2014,0.04
"NL",2014,0.13
"NO",2014,0.28
"PT",2014,0.05
"SE",2014,0.29
"CH",2014,0.12
"GB",2014,0.24
"FI",2014,0.21
"IS",2014,0.09
"IE",2014,0.18
"LU",2014,0.43
"CY",2014,0
"GR",2014,0.02
"MT",2014,0.02
"ES",2014,0.03
"TR",2014,0.03
"SI",2014,0.02
"CZ",2014,0.03
"SK",2014,0.02
"BG",2014,0.02
"HU",2014,0.02
"PL",2014,0.02
"RO",2014,0.02
"EE",2014,0.03
"LV",2014,0.02
"LT",2014,0.02
"RU",2014,0
"nordic-dev-fund",2014,
"CA",2014,0.08
"US",2014,0.06
"IL",2014,0
"KW",2014,
"AE",2014,0.05
"KZ",2014,0.01
"JP",2014,0.08
"KR",2014,0.05
"TH",2014,0.02
"TL",2014,
"AU",2014,0.09
"gef",2014,
"NZ",2014,0.07
"ida",2014,
"cardb",2014,
"idb-special-fund",2014,
"afdb",2014,
"afdf",2014,
"asdb-special-funds",2014,
"EU",2014,
"arab-fund-afesd",2014,
"unpbf",2014,
"who",2014,
"international-labour-organisation",2014,
"iaea",2014,
"ofid",2014,
"badea",2014,
"imf-concessional-trust-funds",2014,
"undp",2014,
"unicef",2014,
"wfp",2014,
"unhcr",2014,
"unaids",2014,
"unfpa",2014,
"islamic-dev-bank",2014,
"ifad",2014,
"cif",2014,
"adaptation-fund",2014,
"gavi",2014,
"global-fund",2014,
"gggi",2014,
"bmgf",2014,
"AT",2013,0.08
"BE",2013,0.16
"DK",2013,0.27
"FR",2013,0.12
"DE",2013,0.09
"IT",2013,0.05
"NL",2013,0.17
"NO",2013,0.3
"PT",2013,0.07
"SE",2013,0.31
"CH",2013,0.12
"GB",2013,0.24
"FI",2013,0.19
"IS",2013,0.12
"IE",2013,0.23
"LU",2013,0.38
"CY",2013,0.02
"GR",2013,0.02
"MT",2013,0.02
"ES",2013,0.03
"TR",2013,0.04
"SI",2013,0.02
"HR",2013,0.01
"CZ",2013,0.03
"SK",2013,0.02
"BG",2013,0.03
"HU",2013,0.02
"PL",2013,0.02
"RO",2013,0.01
"EE",2013,0.03
"LV",2013,0.02
"LT",2013,0.04
"RU",2013,0.01
"nordic-dev-fund",2013,
"CA",2013,0.1
"US",2013,0.06
"IL",2013,0
"KW",2013,
"AE",2013,0.04
"ifad",2008,
"KZ",2013,0
"JP",2013,0.13
"KR",2013,0.05
"TH",2013,0.01
"AU",2013,0.09
"gef",2013,
"NZ",2013,0.07
"ida",2013,
"cardb",2013,
"idb-special-fund",2013,
"afdb",2013,
"afdf",2013,
"asdb-special-funds",2013,
"EU",2013,
"arab-fund-afesd",2013,
"unpbf",2013,
"who",2013,
"fao",2013,
"international-labour-organisation",2013,
"iaea",2013,
"ofid",2013,
"badea",2013,
"imf-concessional-trust-funds",2013,
"undp",2013,
"unicef",2013,
"wfp",2013,
"unhcr",2013,
"unaids",2013,
"unfpa",2013,
"islamic-dev-bank",2013,
"ifad",2013,
"cif",2013,
"adaptation-fund",2013,
"gavi",2013,
"global-fund",2013,
"gggi",2013,
"bmgf",2013,
"AT",2012,0.06
"BE",2012,0.14
"DK",2012,0.31
"FR",2012,0.1
"DE",2012,0.11
"IT",2012,0.04
"NL",2012,0.15
"NO",2012,0.27
"PT",2012,0.09
"SE",2012,0.29
"CH",2012,0.11
"GB",2012,0.19
"FI",2012,0.18
"IS",2012,0.1
"IE",2012,0.24
"LU",2012,0.37
"CY",2012,0.02
"GR",2012,0.02
"MT",2012,0.02
"ES",2012,0.04
"TR",2012,0.05
"SI",2012,0.02
"HR",2012,0
"CZ",2012,0.03
"SK",2012,0.02
"BG",2012,0.02
"HU",2012,0.02
"PL",2012,0.02
"RO",2012,0.01
"EE",2012,0.03
"LV",2012,0.02
"LT",2012,0.06
"RU",2012,0
"nordic-dev-fund",2012,
"CA",2012,0.11
"US",2012,0.07
"IL",2012,0
"KW",2012,
"AE",2012,0.08
"JP",2012,0.08
"KR",2012,0.05
"TH",2012,0
"AU",2012,0.11
"gef",2012,
"NZ",2012,0.08
"ida",2012,
"cardb",2012,
"idb-special-fund",2012,
"afdb",2012,
"afdf",2012,
"asdb-special-funds",2012,
"EU",2012,
"arab-fund-afesd",2012,
"unpbf",2012,
"who",2012,
"international-labour-organisation",2012,
"iaea",2012,
"ofid",2012,
"badea",2012,
"imf-concessional-trust-funds",2012,
"undp",2012,
"unicef",2012,
"wfp",2012,
"unhcr",2012,
"unaids",2012,
"unfpa",2012,
"islamic-dev-bank",2012,
"ifad",2012,
"adaptation-fund",2012,
"gavi",2012,
"global-fund",2012,
"bmgf",2012,
"AT",2011,0.07
"BE",2011,0.2
"DK",2011,0.32
"FR",2011,0.13
"DE",2011,0.1
"IT",2011,0.07
"NL",2011,0.17
"NO",2011,0.31
"PT",2011,0.15
"SE",2011,0.35
"CH",2011,0.12
"GB",2011,0.21
"FI",2011,0.17
"IS",2011,0.1
"IE",2011,0.27
"LU",2011,0.36
"CY",2011,0.02
"GR",2011,0.02
"ES",2011,0.07
"TR",2011,0.04
"SI",2011,0.02
"CZ",2011,0.03
"SK",2011,0.02
"BG",2011,0.03
"HU",2011,0.02
"PL",2011,0.02
"RO",2011,0.02
"EE",2011,0.03
"LV",2011,0
"LT",2011,0.05
"RU",2011,0.01
"nordic-dev-fund",2011,
"CA",2011,0.11
"US",2011,0.08
"IL",2011,0
"KW",2011,
"AE",2011,0.04
"JP",2011,0.07
"KR",2011,0.04
"TH",2011,0
"AU",2011,0.09
"gef",2011,
"NZ",2011,0.07
"ida",2011,
"cardb",2011,
"idb-special-fund",2011,
"afdb",2011,
"afdf",2011,
"asdb-special-funds",2011,
"EU",2011,
"arab-fund-afesd",2011,
"unpbf",2011,
"who",2011,
"iaea",2011,
"ofid",2011,
"badea",2011,
"imf-concessional-trust-funds",2011,
"undp",2011,
"unicef",2011,
