"di_id","year","value"
"AD",2015,
"AE",2015,1198.63
"AF",2015,1.78
"AG",2015,1677.87
"AL",2015,347.25
"AM",2015,59.82
"AO",2015,346.93
"AR",2015,268.44
"AS",2015,
"AT",2015,445.63
"AU",2015,936.22
"AW",2015,0
"AZ",2015,419.39
"BA",2015,65.47
"BB",2015,895.18
"BD",2015,13.88
"BE",2015,2749.44
"BF",2015,9.25
"BG",2015,247.12
"BH",2015,0
"BI",2015,0.66
"BJ",2015,21.07
"BM",2015,0
"BN",2015,409.38
"BO",2015,46.94
"BR",2015,311.04
"BS",2015,991.99
"BT",2015,15.6
"BW",2015,173.96
"BY",2015,166.5
"BZ",2015,179.84
"CA",2015,1356.78
"CD",2015,21.66
"CF",2015,0.61
"CG",2015,321.66
"CH",2015,8306.77
"CI",2015,18.95
"CL",2015,1124.14
"CM",2015,26.56
"CN",2015,98.9
"CO",2015,251.05
"CR",2015,592.7
"CU",2015,
"CV",2015,182.34
"CW",2015,1108.22
"CY",2015,3890.94
"CZ",2015,115.92
"DE",2015,389.61
"DJ",2015,139.66
"DK",2015,641.57
"DM",2015,494.73
"DO",2015,211
"DZ",2015,0
"EC",2015,65.66
"EE",2015,158.34
"EG",2015,75.24
"ER",2015,
"ES",2015,199.12
"ET",2015,21.81
"FI",2015,1512.15
"FJ",2015,372.59
"FM",2015,7.66
"FO",2015,
"FR",2015,641.87
"GA",2015,361.61
"GB",2015,606.91
"GD",2015,567.97
"GE",2015,366.99
"GH",2015,116.47
"GL",2015,
"GM",2015,5.32
"GN",2015,6.74
"GQ",2015,374.14
"GR",2015,0
"GT",2015,73.94
"GU",2015,
"GW",2015,9.95
"GY",2015,158.67
"HK",2015,23939.13
"HN",2015,149.04
"HR",2015,41.17
"HT",2015,9.73
"HU",2015,129
"ID",2015,60.21
"IE",2015,21665.35
"IL",2015,1380.13
"IN",2015,33.72
"IQ",2015,95.23
"IR",2015,25.91
"IS",2015,0
"IT",2015,333.52
"JM",2015,291.45
"JO",2015,167.86
"JP",2015,0
"KE",2015,31.21
"KG",2015,67.9
"KH",2015,109.19
"KI",2015,15.1
"KM",2015,6.53
"KN",2015,1406.46
"KP",2015,3.3
"KR",2015,99.61
"KW",2015,75.41
"KY",2015,316630.51
"KZ",2015,229.18
"LA",2015,179.33
"LB",2015,400.12
"LC",2015,513.68
"LI",2015,
"LK",2015,32.49
"LR",2015,113.76
"LS",2015,79.16
"LT",2015,296.7
"LU",2015,43175.02
"LV",2015,325.25
"LY",2015,115.58
"MA",2015,91.99
"MC",2015,
"MD",2015,64.3
"ME",2015,1123.24
"MF",2015,
"MG",2015,21.35
"MH",2015,0
"MK",2015,83.79
"ML",2015,8.69
"MM",2015,52.4
"MN",2015,65.94
"MO",2015,6649.1
"MP",2015,
"MR",2015,121.7
"MT",2015,22098.96
"MU",2015,164.97
"MV",2015,791.55
"MW",2015,8.28
"MX",2015,238.43
"MY",2015,366.67
"MZ",2015,132.63
"NA",2015,438.33
"NC",2015,6883.33
"NE",2015,26.38
"NG",2015,16.82
"NI",2015,137.29
"NL",2015,4289.47
"NO",2015,0
"NP",2015,1.8
"NZ",2015,0
"OM",2015,183.02
"PA",2015,1282.37
"PE",2015,218.67
"PF",2015,292.54
"PG",2015,0
"PH",2015,51.98
"PK",2015,4.58
"PL",2015,197.09
"PR",2015,
"PS",2015,27.14
"PT",2015,582.74
"PW",2015,0
"PY",2015,42.58
