"di_id","aid_type","year","value"
"AE","out-oda-net-excl-debt-relief",2015,4381370000
"AE","out-oda-net-excl-debt-relief",2014,5080370000
"AE","out-oda-net-excl-debt-relief",2013,5401900000
"AE","out-oda-net-excl-debt-relief",2012,759150000
"AE","out-oda-net-excl-debt-relief",2011,717800000
"AE","out-oda-net-excl-debt-relief",2010,413820000
"AE","out-oda-net-excl-debt-relief",2009,946630000
"AE","out-oda-net-excl-debt-relief",2008,1265750000
"AE","out-oda-net-excl-debt-relief",2007,2425590000
"AE","out-oda-net-excl-debt-relief",2006,782680000
"AE","out-oda-net-excl-debt-relief",2005,509830000
"AE","out-oda-net-excl-debt-relief",2004,484770000
"AE","out-oda-net-excl-debt-relief",2003,926300000
"AE","out-oda-net-excl-debt-relief",2002,558060000
"AE","out-oda-net-excl-debt-relief",2001,487190000
"AE","out-oda-net-excl-debt-relief",2000,399240000
"AE","out-oda-net-excl-debt-relief",1999,587430000
"AE","out-oda-net-excl-debt-relief",1998,939640000
"AE","out-oda-net-excl-debt-relief",1997,612030000
"AE","out-oda-net-excl-debt-relief",1996,304840000
"AE","out-oda-net-excl-debt-relief",1995,242530000
"AE","out-oda-net-excl-debt-relief",1994,363130000
"AE","out-oda-net-excl-debt-relief",1993,602360000
"AE","out-oda-net-excl-debt-relief",1992,5.79e+08
"AE","out-oda-net-excl-debt-relief",1991,1543220000
"AE","out-oda-net-excl-debt-relief",1990,2474070000
"AE","out-oda-net-excl-debt-relief",1989,321540000
"AE","out-oda-net-excl-debt-relief",1988,101470000
"AE","out-oda-net-excl-debt-relief",1987,331460000
"AE","out-oda-net-excl-debt-relief",1986,281890000
"AE","out-oda-net-excl-debt-relief",1985,365530000
"AE","out-oda-net-excl-debt-relief",1984,322920000
"AE","out-oda-net-excl-debt-relief",1983,607110000
"AE","out-oda-net-excl-debt-relief",1982,1021570000
"AE","out-oda-net-excl-debt-relief",1981,1659620000
"AE","out-oda-net-excl-debt-relief",1980,2225320000
"AE","out-oda-net-excl-debt-relief",1979,1797760000
"AE","out-oda-net-excl-debt-relief",1978,1749140000
"AE","out-oda-net-excl-debt-relief",1977,1840220000
"AE","out-oda-net-excl-debt-relief",1976,2365610000
"AE","out-oda-net-excl-debt-relief",1975,1997680000
"AE","out-oda-net-excl-debt-relief",1974,1071020000
"AE","out-oda-net-excl-debt-relief",1973,638880000
"AE","out-oda-net-excl-debt-relief",1972,112760000
"AE","out-oda-net-excl-debt-relief",1971,99520000
"AE","out-oda-net-excl-debt-relief",1970,510000
"all-donors-total","out-oda-net-excl-debt-relief",2015,161850180000
"all-donors-total","out-oda-net-excl-debt-relief",2014,177600350000
"all-donors-total","out-oda-net-excl-debt-relief",2013,163420250000
"all-donors-total","out-oda-net-excl-debt-relief",2012,147614360000
"all-donors-total","out-oda-net-excl-debt-relief",2011,157108350000
"all-donors-total","out-oda-net-excl-debt-relief",2010,143711280000
"all-donors-total","out-oda-net-excl-debt-relief",2009,138404410000
"all-donors-total","out-oda-net-excl-debt-relief",2008,135441790000
"all-donors-total","out-oda-net-excl-debt-relief",2007,113134020000
"all-donors-total","out-oda-net-excl-debt-relief",2006,101013930000
"all-donors-total","out-oda-net-excl-debt-relief",2005,96849950000
"all-donors-total","out-oda-net-excl-debt-relief",2004,86930640000
"all-donors-total","out-oda-net-excl-debt-relief",2003,71968190000
"all-donors-total","out-oda-net-excl-debt-relief",2002,61961420000
"all-donors-total","out-oda-net-excl-debt-relief",2001,57254730000
"all-donors-total","out-oda-net-excl-debt-relief",2000,58084210000
"all-donors-total","out-oda-net-excl-debt-relief",1999,57706300000
"all-donors-total","out-oda-net-excl-debt-relief",1998,56585250000
