"di_id","year","value_rural","value_urban"
"MW",2015,14414314,2800918
"MX",2015,26356074,100661150
"MY",2015,7673745,22660295
"MZ",2015,18966193,9011670
"NA",2015,1311540,1147290
"NC",2015,81327,191673
"NE",2015,16172015,3727105
"NG",2015,95145865,87056097
"NI",2015,2507014,3575018
"NL",2015,1608969,15327551
"NO",2015,1014763,4181158
"NP",2015,23207300,5309251
"NR",2015,0,10222
"NZ",2015,630530,3965170
"OM",2015,1004085,3486456
"PA",2015,1312726,2616415
"PE",2015,6711470,24665200
"PF",2015,124755,158009
"PG",2015,6628809,991274
"PH",2015,56019073,44680322
"PK",2015,115697593,73227281
"PL",2015,14994600,23004894
"PS",1969,,
"PR",2015,222348,3251834
"PS",2015,1094480,3327663
"PT",2015,3780361,6568287
"PW",2015,2753,18538
"PY",2015,2677558,3961565
"QA",2015,16989,2218366
"RO",2015,9011838,10820551
"RS",2015,3155171,3943076
"RU",2015,37450761,106646051
"RW",2015,8264921,3344745
"SA",2015,5320861,26219511
"SB",2015,453275,130316
"SC",2015,42836,50064
"SD",2015,26631468,13603414
"SE",2015,1390460,8409391
"SG",2015,0,5535002
"SI",2015,1039107,1024661
"SK",2015,2516759,2907291
"SL",2015,3875782,2577402
"SM",2015,1846,29935
"SN",2015,8514755,6614518
"SO",2015,6520804,4266300
"SR",2015,184394,358581
"SS",2015,10019927,2319885
"ST",2015,66449,123895
"SV",2015,2038314,4088269
"SX",2015,0,38817
"SY",2015,7833922,10668491
"SZ",2015,1012717,274253
"TC",2015,2682,31657
"TD",2015,10883252,3154220
"TG",2015,4385669,2918909
"TH",2015,33728230,34231129
"TJ",2015,6210414,2271441
"TL",2015,837024,407991
"TM",2015,2684602,2688900
"TN",2015,3683346,7424454
"TO",2015,80997,25173
"TR",2015,20925111,57740719
"TT",2015,1245297,114927
"TV",2015,3994,5922
"TZ",2015,36568420,16902000
"UA",2015,13699574,31503145
"UG",2015,32748169,6284214
"US",2015,59076779,262342041
"UY",2015,160940,3270615
"UZ",2015,19919002,11383628
"VC",2015,54129,55333
"VE",2015,3425000,27683083
"VG",2015,16206,13911
"VI",2015,4837,98747
"VN",2015,60900494,30803306
"VU",2015,195498,69154
"WS",2015,156321,36907
"XK",2015,,
"YE",2015,17545585,9286630
"ZA",2015,19344836,35612084
"ZM",2015,9577912,6633855
"ZW",2015,10550580,5052171
"AD",2014,10459,62327
"AE",2014,1338388,7747751
"AF",2014,23315797,8311709
"AG",2014,68911,21989
"AL",2014,1261344,1632310
"AM",2014,1117989,1888165
"AO",2014,13744274,10483250
"AR",2014,3610322,39369704
"AS",2014,7062,48372
"AT",2014,2910969,5630606
"AU",2014,2513004,20951082
"AW",2014,60223,43218
"AZ",2014,4352764,5183269
"BA",2014,2305039,1512515
"BB",2014,193974,89406
"BD",2014,105754731,53322782
"BE",2014,244840,10986373
"BF",2014,12484813,5104385
"BG",2014,1904952,5318986
"BH",2014,153626,1208304
"BI",2014,9544797,1272063
"BJ",2014,5987082,4611400
"BM",2014,0,65139
"BN",2014,96460,320934
"BO",2014,3368186,7193701
"BR",2014,30025550,176052348
"BS",2014,65885,317169
"BT",2014,475070,289938
"BW",2014,950355,1269582
"BY",2014,2249368,7233632
"BZ",2014,196533,155173
"CA",2014,6522261,29021397
"CD",2014,43443653,31433377
"CF",2014,2894120,1910196
"CG",2014,1578539,2926423
"CH",2014,2142151,6046498
"CI",2014,10307486,11849621
"CL",2014,1889946,15872701
"CM",2014,10516578,12256436
"CN",2014,621970693,742299307
"CO",2014,11393468,36397925
"CR",2014,1146107,3611974
"CU",2014,2620609,8758502
"CV",2014,180689,333217
"CW",2014,16480,139429
"CY",2014,380476,773182
"CZ",2014,2839739,7685608
"DE",2014,20172741,60809759
"DJ",2014,199242,676932
"DK",2014,705434,4938041
"DM",2014,22238,50103
"DO",2014,2283064,8122879
"DZ",2014,11629686,27304648
"EC",2014,5801384,10101532
"EE",2014,425650,888895
"EG",2014,50997706,38581964
"ER",2014,,
"ES",2014,9598302,36887228
"ET",2014,78507485,18451247
"EU",2014,129221232,379123503
"FI",2014,868927,4592585
"FJ",2014,413529,472921
"FM",2014,80759,23285
"FO",2014,28094,20127
"FR",2014,13771309,52724631
"GA",2014,220748,1466925
"GB",2014,11410684,53208937
"GD",2014,68510,37839
"GE",2014,1734173,1992827
"GH",2014,12485233,14301365
"GI",2014,0,31997
"GL",2014,7859,48442
"GM",2014,790370,1138024
"GN",2014,7772864,4502663
"GQ",2014,494501,326384
"GR",2014,2431187,8461226
"GT",2014,7829975,8187121
"GU",2014,9315,158228
"GW",2014,926364,874149
"GY",2014,546489,217404
"HK",2014,0,7241700
"HN",2014,3651226,4310454
"HR",2014,1752150,2486239
"HT",2014,4499456,6072573
"HU",2014,2883969,6982499
"ID",2014,119593746,134861032
"IE",2014,1710682,2906543
"IL",2014,650683,7565017
"IM",2014,41699,45428
"IN",2014,876005671,419285872
"IQ",2014,10807737,24465556
"IR",2014,21215999,56935459
"IS",2014,19512,307874
"IT",2014,18954054,41835086
"JM",2014,1236220,1484334
"JO",2014,1227362,6188721
"JP",2014,8873800,118258000
"KE",2014,33557960,11305623
"KG",2014,3759229,2076854
"KH",2014,12184335,3143801
"KI",2014,61675,48795
"KM",2014,552931,217060
"KN",2014,37384,17560
"KP",2014,9833019,15196256
"KR",2014,8894786,41529169
"KW",2014,62677,3690444
"KY",2014,0,59172
"KZ",2014,8075797,9213427
"LA",2014,4177468,2511832
"LB",2014,691971,4920125
"LC",2014,149707,33938
"LI",2014,31954,5336
"LK",2014,16965753,3805247
"LR",2014,2228613,2167941
"LS",2014,1544143,565054
"LT",2014,981756,1950611
"LU",2014,56355,499964
"LV",2014,649574,1344208
"LY",2014,1354444,4904540
"MA",2014,13670245,20250958
"MC",2014,0,37623
"MD",2014,1958863,1597889
"ME",2014,224909,396901
"MF",2014,,
"MG",2014,15446544,8125169
"MH",2014,14589,38309
"MK",2014,891896,1183729
"ML",2014,10398553,6687469
"MM",2014,35508992,17928167
"MN",2014,837461,2072410
"MO",2014,0,577914
"MP",2014,5852,48689
"MR",2014,1617622,2352400
"MT",2014,20172,407192
"MU",2014,758956,501978
"MV",2014,222595,178405
"MW",2014,14007317,2687936
"MX",2014,26368641,99017192
"MY",2014,7771529,22130468
"MZ",2014,18526119,8690157
"NA",2014,1305232,1097626
"NC",2014,81311,186689
"NE",2014,15583422,3530306
"NG",2014,94168758,83307228
"NI",2014,2498179,3515734
"NL",2014,1701679,15163329
"NO",2014,1016658,4120574
"NP",2014,23035654,5139070
"NR",2014,0,10176
"NZ",2014,620084,3889616
"OM",2014,966668,3269389
"PA",2014,1303746,2563789
"PE",2014,6727368,24248878
"PF",2014,123160,156621
"PG",2014,6494805,969519
"PH",2014,55031887,44106803
"PK",2014,114172324,70871962
"PL",2014,14988027,23023708
"PR",2014,224819,3310069
"PS",2014,1072382,3222300
"PT",2014,3857754,6543308
"PW",2014,2859,18238
"PY",2014,2659012,3893506
"QA",2014,18245,2153820
"RO",2014,9080485,10828494
"RS",2014,3176672,3954617
"RU",2014,37508144,106311425
"RW",2014,8184058,3157486
"SA",2014,5272333,25614212
"SB",2014,446980,125191
"SC",2014,42446,48954
"SD",2014,26120712,13229562
"SE",2014,1390422,8306657
"SG",2014,0,5469724
"SI",2014,1037382,1024804
"SK",2014,2505583,2913066
"SL",2014,3815902,2499725
"SM",2014,1842,29753
"SN",2014,8306135,6366422
"SO",2014,6407303,4110266
"SR",2014,182574,355728
"SS",2014,9696895,2214289
"ST",2014,66133,120209
"SV",2014,2061351,4046966
"SX",2014,0,37685
"SY",2014,8025236,10749123
"SZ",2014,998664,270575
"TC",2014,2750,30990
"TD",2014,10551705,3035348
"TG",2014,4306808,2808355
"TH",2014,34425115,33300864
"TJ",2014,6081680,2214160
"TL",2014,822657,389450
"TM",2014,2670046,2637142
"TN",2014,3668466,7329234
"TO",2014,80636,24950
"TR",2014,21016699,56507089
"TT",2014,1238675,115808
"TV",2014,4078,5815
"TZ",2014,35809431,16013190
"UA",2014,13844757,31518143
"UG",2014,31824596,5958375
"US",2014,59157323,259750078
"UY",2014,165847,3253669
"UZ",2014,19598806,11158894
"VC",2014,54461,54899
"VE",2014,3394737,27299090
"VG",2014,16014,13571
"VI",2014,5000,99170
"VN",2014,60833727,29895173
"VU",2014,192039,66844
"WS",2014,154896,36949
"XK",2014,,
"YE",2014,17273371,8910305
"ZA",2014,19298937,34759710
"ZM",2014,9358915,6362428
"ZW",2014,10290952,4954903
"AD",2013,10505,65405
"AE",2013,1357805,7682173
"AF",2013,22744937,7937563
"AG",2013,67813,22172
"AL",2013,1292486,1604166
"AM",2013,1108009,1884483
"AO",2013,13485061,9963141
"AR",2013,3637025,38901279
"AS",2013,7007,48295
"AT",2013,2893163,5586212
"AU",2013,2508233,20609120
"AW",2013,59632,43289
"AZ",2013,4322312,5094489
"BA",2013,2313620,1509913
"BB",2013,193091,89412
"BD",2013,105688347,51469047
"BE",2013,248259,10934558
"BF",2013,12268418,4816136
"BG",2013,1939786,5325329
"BH",2013,152890,1196537
"BI",2013,9265514,1200445
"BJ",2013,5874382,4447850
"BM",2013,0,65001
"BN",2013,96455,315044
"BO",2013,3359178,7040753
"BR",2013,30291666,173967711
"BS",2013,65253,312588
"BT",2013,474365,280272
"BW",2013,937205,1239305
"BY",2013,2283199,7182801
"BZ",2013,191716,152477
"CA",2013,6514314,28641185
"CD",2013,42472445,30080416
"CF",2013,2849960,1860718
"CG",2013,1558670,2835664
"CH",2013,2120218,5969128
"CI",2013,10212302,11410188
"CL",2013,1903463,15674128
"CM",2013,10383720,11827446
"CN",2013,635661054,721718946
"CO",2013,11418978,35923385
"CR",2013,1178491,3527942
"CU",2013,2628147,8734358
"CV",2013,181953,325305
"CW",2013,16090,137732
"CY",2013,375261,766391
"CZ",2013,2832545,7681727
"DE",2013,20623534,61509219
"DJ",2013,197205,667349
"DK",2013,711973,4902959
"DM",2013,22343,49662
"DO",2013,2356499,7924909
"DZ",2013,11642953,26543182
"EC",2013,5747702,9913610
"EE",2013,425449,892548
"EG",2013,49922405,37700265
"ER",2013,,
"ES",2013,9729603,36890442
"ET",2013,76979972,17578402
"EU",2013,130213443,377837445
"FI",2013,872955,4566017
"FJ",2013,414005,466482
"FM",2013,80547,23171
"FO",2013,28236,20056
"FR",2013,13821154,52157540
"GA",2013,220157,1430194
"GB",2013,11485365,52642861
"GD",2013,68222,37680
"GE",2013,1763014,2012986
"GH",2013,12367927,13799121
"GI",2013,0,31720
"GL",2013,8117,48366
"GM",2013,777181,1089697
"GN",2013,7622092,4326634
"GQ",2013,481438,315644
"GR",2013,2484717,8480494
"GT",2013,7741837,7948956
"GU",2013,9313,155808
"GW",2013,918105,839033
"GY",2013,545052,215981
"HK",2013,0,7187500
"HN",2013,3646673,4202386
"HR",2013,1772069,2483620
"HT",2013,4572016,5859233
"HU",2013,2937256,6955826
"ID",2013,119980602,131287674
"IE",2013,1716543,2881751
"IL",2013,643954,7415546
"IM",2013,41433,45029
"IN",2013,870187184,409311690
"IQ",2013,10484604,23622762
"IR",2013,21355797,55796648
"IS",2013,19620,304144
"IT",2013,18859249,41374699
"JM",2013,1239518,1475151
"JO",2013,1211370,6003462
"JP",2013,9563130,117775491
"KE",2013,32865785,10827096
"KG",2013,3690286,2029314
"KH",2013,12014600,3063964
"KI",2013,60730,47824
"KM",2013,540470,211227
"KN",2013,36984,17317
"KP",2013,9816376,15079329
"KR",2013,8913991,41305678
"KW",2013,60733,3532956
"KY",2013,0,58369
"KZ",2013,7945252,9090023
"LA",2013,4180264,2399721
"LB",2013,658230,4628760
"LC",2013,148651,33654
"LI",2013,31732,5308
"LK",2013,16813043,3765957
"LR",2013,2193218,2100474
"LS",2013,1535841,547220
"LT",2013,989347,1968342
"LU",2013,56672,486688
"LV",2013,654513,1358134
"LY",2013,1367865,4898122
"MA",2013,13648696,19803990
"MC",2013,0,37528
"MD",2013,1961482,1597084
"ME",2013,225871,395336
"MF",2013,,
"MG",2013,15169179,7755378
"MH",2013,14696,38090
"MK",2013,891608,1180935
"ML",2013,10227369,6364728
"MM",2013,35493867,17489962
"MN",2013,847173,2012001
"MO",2013,0,568056
"MP",2013,5759,48110
"MR",2013,1601742,2270942
"MT",2013,20576,402798
"MU",2013,755444,503209
"MV",2013,222359,170641
"MW",2013,13609420,2580706
"MX",2013,26369017,97371092
"MY",2013,7873147,21592225
"MZ",2013,18085024,8382156
"NA",2013,1298135,1048457
"NC",2013,81267,181733
"NE",2013,15013878,3344985
"NG",2013,93165384,79651133
"NI",2013,2488253,3457393
"NL",2013,1803116,15001316
"NO",2013,1018972,4060651
"NP",2013,22858086,4976895
"NR",2013,0,10125
"NZ",2013,612121,3829979
"OM",2013,910310,2996602
"PA",2013,1294313,2511370
"PE",2013,6739684,23825777
"PF",2013,121528,155238
"PG",2013,6360173,948691
"PH",2013,54025437,43546239
"PK",2013,112593110,68599536
"PL",2013,14980229,23059967
"PR",2013,227083,3365996
"PS",2013,1050716,3118790
"PT",2013,3938217,6519078
"PW",2013,2975,17944
"PY",2013,2639933,3825736
"QA",2013,19752,2081536
"RO",2013,9146536,10839155
"RS",2013,3197352,3966780
"RU",2013,37527057,105979854
"RW",2013,8101411,2976684
"SA",2013,5218742,24982309
"SB",2013,440586,120099
"SC",2013,42046,47854
"SD",2013,25627944,12887151
"SE",2013,1391095,8209284
"SG",2013,0,5399162
"SI",2013,1034920,1025033
"SK",2013,2493409,2920526
"SL",2013,3754893,2423966
"SM",2013,1840,29551
"SN",2013,8094617,6126424
"SO",2013,6303622,3964535
"SR",2013,180626,352824
"SS",2013,9347454,2106356
"ST",2013,65841,116545
"SV",2013,2084485,4005768
"SX",2013,0,36607
"SY",2013,8337699,10986826
"SZ",2013,983754,266887
"TC",2013,2820,30283
"TD",2013,10223479,2922309
"TG",2013,4227904,2700815
"TH",2013,35115210,32336212
"TJ",2013,5952508,2159386
"TL",2013,808583,371604
"TM",2013,2654105,2585983
"TN",2013,3651332,7235168
"TO",2013,80368,24771
"TR",2013,21060591,55163048
"TT",2013,1231348,116892
"TV",2013,4167,5709
"TZ",2013,35048993,15164464
"UA",2013,13978954,31510646
"UG",2013,30926456,5646931
"US",2013,59235208,257192187
"UY",2013,171080,3236889
"UZ",2013,19289113,10954087
"VC",2013,54827,54500
"VE",2013,3363669,26912376
"VG",2013,15819,13239
"VI",2013,5174,99563
"VN",2013,60758206,29001294
"VU",2013,188583,64582
"WS",2013,153378,37012
"XK",2013,,
"YE",2013,16992356,8540861
"ZA",2013,19260901,33931315
"ZM",2013,9143078,6103008
"ZW",2013,10033865,4864227
"AD",2012,10541,68775
"AE",2012,1371529,7581013
"AF",2012,22155386,7571417
"AG",2012,66686,22392
"AL",2012,1324543,1575704
"AM",2012,1097220,1881119
"AO",2012,13225723,9459909
"AR",2012,3666494,38432940
"AS",2012,6953,48274
"AT",2012,2877999,5551992
"AU",2012,2497835,20232692
"AW",2012,59019,43374
"AZ",2012,4289075,5006709
"BA",2012,2320788,1507631
"BB",2012,192122,89458
"BD",2012,105590549,49666838
"BE",2012,252611,10875635
"BF",2012,12053226,4537587
"BG",2012,1974782,5331106
"BH",2012,151761,1181816
"BI",2012,8991632,1132940
"BJ",2012,5761546,4288246
"BM",2012,0,64798
"BN",2012,96431,309081
"BO",2012,3350123,6888639
"BR",2012,30562639,171838945
"BS",2012,64535,307853
"BT",2012,473223,270488
"BW",2012,923512,1209310
"BY",2012,2321519,7142481
"BZ",2012,186872,149835
"CA",2012,6502001,28249475
"CD",2012,41506930,28784230
"CF",2012,2805884,1813616
"CG",2012,1538741,2747447
"CH",2012,2099976,5896885
"CI",2012,10120827,10981814
"CL",2012,1914467,15473970
"CM",2012,10249270,11410218
"CN",2012,649819365,700875636
"CO",2012,11438968,35442050
"CR",2012,1212871,3441277
"CU",2012,2633759,8708872
"CV",2012,183369,317501
"CW",2012,15741,136347
"CY",2012,369734,759569
"CZ",2012,2826350,7685486
"DE",2012,20355776,60070047
"DJ",2012,195182,657887
"DK",2012,719076,4872496
"DM",2012,22452,49233
"DO",2012,2433147,7721889
"DZ",2012,11654894,25784533
"EC",2012,5691335,9728158
"EE",2012,425511,897317
"EG",2012,48826714,36834188
"ER",2012,,
"ES",2012,9869115,36903940
"ET",2012,75449287,16741924
"EU",2012,130517472,374581103
"FI",2012,875981,4537990
"FJ",2012,414351,459807
"FM",2012,80411,23105
"FO",2012,28397,19996
"FR",2012,13906744,51753046
"GA",2012,219919,1393570
"GB",2012,11574345,52125955
"GD",2012,67927,37549
"GE",2012,1791630,2033370
"GH",2012,12243510,13301055
"GI",2012,0,31402
"GL",2012,8408,48402
"GM",2012,764226,1042882
"GN",2012,7471483,4157284
"GQ",2012,468416,305313
"GR",2012,2540353,8504658
"GT",2012,7652105,7716654
"GU",2012,9329,153478
"GW",2012,910120,804500
"GY",2012,543628,214782
"HK",2012,0,7154600
"HN",2012,3641397,4094734
"HR",2012,1789387,2478171
"HT",2012,4646435,5642393
"HU",2012,2992973,6927389
"ID",2012,120323162,127714691
"IE",2012,1725132,2861765
"IL",2012,636795,7273705
"IM",2012,41140,44639
"IN",2012,863916236,399673403
"IQ",2012,10160835,22800083
"IR",2012,21499114,54657861
"IS",2012,19756,300960
"IT",2012,18719287,40820430
"JM",2012,1242070,1465735
"JO",2012,1191155,5803296
"JP",2012,10332481,117229008
"KE",2012,32175254,10367724
"KG",2012,3622251,1984949
"KH",2012,11845039,2987216
"KI",2012,59761,46859
"KM",2012,528016,205645
"KN",2012,36568,17082
"KP",2012,9796382,14966971
"KR",2012,8930793,41073648
"KW",2012,58475,3361106
"KY",2012,0,57522
"KZ",2012,7814729,8976696
"LA",2012,4183532,2289518
"LB",2012,618979,4305278
"LC",2012,147516,33374
"LI",2012,31508,5287
"LK",2012,16686408,3737592
"LR",2012,2156254,2033901
"LS",2012,1527363,529968
"LT",2012,997916,1989857
"LU",2012,57077,473869
"LV",2012,660137,1374182
"LY",2012,1382977,4900426
"MA",2012,13622470,19361720
"MC",2012,0,37404
"MD",2012,1962719,1596800
"ME",2012,226768,393833
"MF",2012,,
"MG",2012,14892205,7401515
"MH",2012,14804,37859
"MK",2012,890614,1178656
"ML",2012,10057318,6055015
"MM",2012,35482856,17060985
"MN",2012,857386,1950953
"MO",2012,0,557763
"MP",2012,5673,47641
"MR",2012,1586368,2190699
"MT",2012,21015,398440
"MU",2012,751520,504362
"MV",2012,222145,162855
"MW",2012,13219767,2480669
"MX",2012,26355121,95715842
"MY",2012,7972327,21049613
"MZ",2012,17647642,8085286
"NA",2012,1290884,1000761
"NC",2012,81559,177441
"NE",2012,14463105,3172677
"NG",2012,92145269,76095134
"NI",2012,2477758,3399276
"NL",2012,1915092,14841545
"NO",2012,1020778,3998297
"NP",2012,22682425,4818090
"NR",2012,0,10079
"NZ",2012,608318,3799782
"OM",2012,843756,2701436
"PA",2012,1284110,2459651
"PE",2012,6749532,23409236
"PF",2012,119859,153916
"PG",2012,6226168,928702
"PH",2012,52991960,43025362
"PK",2012,110994332,66397920
"PL",2012,14962630,23100534
"PR",2012,228246,3406241
"PS",2012,1028722,3018179
"PT",2012,4020876,6493968
"PW",2012,3105,17651
"PY",2012,2619284,3759878
"QA",2012,21164,1994460
"RO",2012,9208644,10849391
"RS",2012,3217268,3981809
"RU",2012,37533159,105668517
"RW",2012,8016738,2800612
"SA",2012,5158859,24337188
"SB",2012,434058,115104
"SC",2012,41582,46730
"SD",2012,25150413,12565778
"SE",2012,1393636,8125738
"SG",2012,0,5312437
"SI",2012,1031460,1025699
"SK",2012,2478834,2928745
"SL",2012,3693578,2350184
"SM",2012,1833,29339
"SN",2012,7884978,5895130
"SO",2012,6205800,3827830
"SR",2012,178592,349943
"SS",2012,8982150,1998473
"ST",2012,65575,112927
"SV",2012,2107672,3964561
"SX",2012,0,34640
"SY",2012,8698750,11280006
"SZ",2012,968481,263213
"TC",2012,2890,29540
"TD",2012,9901533,2813932
"TG",2012,4149207,2596374
"TH",2012,35811914,31352216
"TJ",2012,5823681,2107248
"TL",2012,794734,354224
"TM",2012,2637165,2535776
"TN",2012,3635251,7142249
"TO",2012,80148,24621
"TR",2012,21085016,53764171
"TT",2012,1223654,118059
"TV",2012,4259,5602
"TZ",2012,34300089,14345620
"UA",2012,14102008,31491292
"UG",2012,30051586,5352574
"US",2012,59333985,254768638
"UY",2012,176631,3220122
"UZ",2012,19002086,10772414
"VC",2012,55225,54120
"VE",2012,3328748,26525490
"VG",2012,15610,12901
"VI",2012,5348,99927
"VN",2012,60683326,28125874
"VU",2012,185129,62369
"WS",2012,151801,37100
"XK",2012,,
"YE",2012,16703818,8178974
"ZA",2012,19230499,33125882
"ZM",2012,8932574,5854007
"ZW",2012,9783634,4781848
"AD",2011,10488,71838
"AE",2011,1365237,7370358
"AF",2011,21586709,7222458
"AG",2011,65523,22629
"AL",2011,1357985,1546795
"AM",2011,1087173,1880811
"AO",2011,12967897,8974399
"AR",2011,3694853,37960763
"AS",2011,6915,48402
"AT",2011,2864907,5526736
"AU",2011,2486445,19855813
"AW",2011,58409,43527
"AZ",2011,4254475,4918607
"BA",2011,2326595,1505715
"BB",2011,191090,89540
"BD",2011,105512380,47908573
"BE",2011,255203,10792541
"BF",2011,11838535,4269926
"BG",2011,2010503,5337825
"BH",2011,149277,1156867
"BI",2011,8722046,1068105
"BJ",2011,5646620,4132771
"BM",2011,0,64564
"BN",2011,96386,303057
"BO",2011,3340936,6738310
"BR",2011,30839604,169677980
"BS",2011,63771,302940
"BT",2011,471713,260606
"BW",2011,909649,1180057
"BY",2011,2363514,7109487
"BZ",2011,181978,147215
"CA",2011,6487351,27858863
"CD",2011,40552841,27534535
"CF",2011,2762492,1768411
"CG",2011,1517662,2659773
"CH",2011,2080961,5831437
"CI",2011,10034232,10572001
"CL",2011,1928266,15273039
"CM",2011,10116032,11003033
"CN",2011,664403459,679726541
"CO",2011,11453111,34953335
"CR",2011,1248112,3352375
"CU",2011,2639524,8684046
"CV",2011,185090,310069
"CW",2011,15430,135416
"CY",2011,363914,752730
"CZ",2011,2815051,7682087
"DE",2011,20866586,60931087
"DJ",2011,193194,648608
"DK",2011,726403,4844169
"DM",2011,22570,48832
"DO",2011,2513804,7513336
"DZ",2011,11672376,25044756
"EC",2011,5633806,9544991
"EE",2011,425311,902260
"EG",2011,47758951,36028683
"ER",2011,3786154,1003414
"ES",2011,9970217,36772480
"ET",2011,73926749,15940933
"EU",2011,131740227,373786354
"FI",2011,878827,4509445
"FJ",2011,414496,452831
"FM",2011,80401,23075
"FO",2011,28552,19940
"FR",2011,13996423,51346353
"GA",2011,220033,1357265
"GB",2011,11658619,51600299
"GD",2011,67634,37436
"GE",2011,1820475,2054525
"GH",2011,12117745,12810758
"GI",2011,0,31067
"GL",2011,8676,48220
"GM",2011,751938,997161
"GN",2011,7321679,3994672
"GQ",2011,455507,295411
"GR",2011,2592994,8511905
"GT",2011,7560758,7490027
"GU",2011,9346,151512
"GW",2011,902356,771153
"GY",2011,542195,213688
"HK",2011,0,7071600
"HN",2011,3633890,3987524
"HR",2011,1806422,2474200
"HT",2011,4721432,5423458
"HU",2011,3056334,6915393
"ID",2011,120665988,124142266
"IE",2011,1734147,2842647
"IL",2011,629806,7135994
"IM",2011,40825,44244
"IN",2011,857244899,390201112
"IQ",2011,9847137,22020621
"IR",2011,21653085,53531237
"IS",2011,20002,299012
"IT",2011,18740154,40639295
"JM",2011,1243815,1456023
"JO",2011,1168192,5592179
"JP",2011,11184012,116633265
"KE",2011,31491591,9928363
"KG",2011,3565740,1948860
"KH",2011,11678857,2914242
"KI",2011,58768,45905
"KM",2011,515715,200257
"KN",2011,36139,16864
"KP",2011,9773723,14857636
"KR",2011,8940387,40839053
"KW",2011,55714,3183467
"KY",2011,0,56580
"KZ",2011,7685574,8871026
"LA",2011,4186243,2180666
