"di_id","year","value_rural","value_urban"
"AD",2015,10493,59987
"AE",2015,1324097,7832866
"AF",2015,23841970,8684592
"AG",2015,69993,21825
"AL",2015,1230496,1658671
"AM",2015,1126512,1891200
"AO",2015,13999794,11022180
"AR",2015,3581882,39834873
"AS",2015,7109,48429
"AT",2015,2930353,5680735
"AU",2015,2516048,21265121
"AW",2015,60744,43145
"AZ",2015,4379782,5271567
"BA",2015,2295014,1515402
"BB",2015,194773,89471
"BD",2015,105806336,55189306
"BE",2015,241514,11044207
"BF",2015,12699247,5406323
"BG",2015,1869867,5308124
"BH",2015,154664,1222711
"BI",2015,9830743,1348178
"BJ",2015,6098144,4781685
"BM",2015,0,65235
"BN",2015,96487,326701
"BO",2015,3377210,7347495
"BR",2015,29742981,178104547
"BS",2015,66468,321551
"BT",2015,475436,299394
"BW",2015,962914,1299571
"BY",2015,2219383,7293617
"BZ",2015,201309,157978
"CA",2015,6514267,29337507
"CD",2015,44436145,32830669
"CF",2015,2938204,1962070
"CG",2015,1599558,3020772
"CH",2015,2162072,6124904
"CI",2015,10401853,12299703
"CL",2015,1879170,16068971
"CM",2015,10649614,12694565
"CN",2015,608684558,762535442
"CO",2015,11362683,36866021
"CR",2015,1114460,3693390
"CU",2015,2611627,8777935
"CV",2015,179417,341085
"CW",2015,16863,141177
"CY",2015,385481,779819
"CZ",2015,2849884,7701335
"DE",2015,20109047,61304098
"DJ",2015,201189,686672
"DK",2015,699283,4976719
"DM",2015,22138,50542
"DO",2015,2213068,8315323
"DZ",2015,11610390,28056129
"EC",2015,5853946,10290417
"EE",2015,425875,886123
"EG",2015,52040647,39476587
"ER",2015,,
"ES",2015,9478611,36939658
"ET",2015,80039371,19351379
"EU",2015,128436427,381231934
"FI",2015,865062,4616951
"FJ",2015,412795,479350
"FM",2015,81040,23420
"FO",2015,27975,20224
"FR",2015,13682357,53126028
"GA",2015,221527,1503765
"GB",2015,11340566,53797666
"GD",2015,68806,38019
"GE",2015,1705584,1973416
"GH",2015,12597587,14812306
"GI",2015,0,32217
"GL",2015,7609,48505
"GM",2015,803736,1187188
"GN",2015,7923238,4685352
"GQ",2015,507712,337348
"GR",2015,2380139,8443593
"GT",2015,7914865,8428032
"GU",2015,9310,160575
"GW",2015,934519,909806
"GY",2015,548082,219003
"HK",2015,0,7305700
"HN",2015,3655580,4419480
"HR",2015,1733695,2490709
"HT",2015,4430097,6282041
"HU",2015,2832316,7012370
"ID",2015,119149021,138414794
"IE",2015,1705922,2934781
"IL",2015,658699,7721701
"IM",2015,41959,45821
"IN",2015,881681479,429369048
"IQ",2015,11120062,25303333
"IR",2015,21066799,58050384
"IS",2015,19386,311437
"IT",2015,18872967,41929118
"JM",2015,1232398,1493543
"JO",2015,1239430,6355117
"JP",2015,8252301,118706171
"KE",2015,34252215,11798087
"KG",2015,3829755,2127245
"KH",2015,12350158,3227741
"KI",2015,62620,49803
"KM",2015,565336,223138
"KN",2015,37761,17811
"KP",2015,9843276,15314557
"KR",2015,8873168,41743877
"KW",2015,64609,3827506
"KY",2015,0,59967
"KZ",2015,8201879,9342247
"LA",2015,4175762,2626261
"LB",2015,714376,5136367
"LC",2015,150774,34225
"LI",2015,32168,5363
"LK",2015,17116642,3849358
"LR",2015,2265229,2238209
"LS",2015,1551947,583075
"LT",2015,974626,1935573
"LU",2015,56056,513620
"LV",2015,645367,1333073
"LY",2015,1346725,4931713
"MA",2015,13685687,20695262
"MC",2015,0,37731
"MD",2015,1955138,1599368
"ME",2015,223873,398515
"MF",2015,,
"MG",2015,15728768,8509045
"MH",2015,14478,38515
"MK",2015,891656,1186797
"ML",2015,10573896,7025798
"MM",2015,35518224,18378930
"MN",2015,827374,2131760
"MO",2015,0,587606
"MP",2015,5926,49144
"MR",2015,1632720,2434844
"MT",2015,19798,411535
"MU",2015,761730,500875
"MV",2015,222830,186333
